match_id,date,group,team_a,team_b,final_score_a,final_score_b,outcome,pre_p_team_a_win,pre_p_draw,pre_p_team_b_win,pre_bet_pick,pre_bet_stake_usd,pre_reasoning,pre_key_sources,t30_p_team_a_win,t30_p_draw,t30_p_team_b_win,t30_bet_pick,t30_bet_stake_usd,t30_reasoning,t30_key_sources,refl_outcome_vs_prediction,refl_was_well_calibrated,refl_luck,refl_key_factor_missed,refl_key_factor_overweighted,refl_counterfactual,refl_would_bet_differently,refl_confidence,_parse_issue,file_order
m01,2026-06-11,A,Mexico,South Africa,2,0,team_a_win,0.68,0.22,0.1,team_a_win,100,"Javier Aguirre's possession-based system and tactically disciplined low-block will likely neutralize South Africa's transitional threats. Furthermore, the extreme altitude of Estadio Azteca provides an unparalleled physiological advantage for El Tri against a Bafana Bafana squad largely tied to the domestic PSL. Factoring in Mexico's formidable defensive record and a -240 moneyline, backing the host nation provides the most statistically and structurally sound expected value.",https://www.foxsports.com/stories/soccer/world-cup-day-1-best-bets-mexico-south-africa | https://www.fifa.com/en/articles/mexico-south-africa-preview-live-stream-team-news-tickets | https://www.thesouthafrican.com/sport/soccer/mexico-vs-bafana-bafana-date-kickoff-time-2026-world-cup-opener/,0.72,0.2,0.08,team_a_win,100.0,"While popular consensus overstates Azteca's altitude as a fatal physical barrier, clinical data shows only a 3-5% sprint velocity reduction for acclimatized players at 77 kPa atmospheric pressure. My view has shifted slightly in Mexico's favor because their official 4-1-4-1 lineup, featuring Álvaro Fidalgo in an advanced role, is structurally optimized to force South Africa's 5-3-2 low block into relentless lateral shifts. This specific tactical friction will mathematically compound Bafana Bafana's marginal aerobic deficit in the second half, offering exceptional expected value on the hosts.",https://pmc.ncbi.nlm.nih.gov/articles/PMC10828377/ | https://football.dhgate.com/lifestyle/mexico-city-altitude-is-it-really-worse-than-denver-world-cup-edition/ | https://www.foxsports.com/stories/soccer/how-watch-2026-fifa-world-cup-full-schedule-dates-every-match,,,,,,,,,,0
m02,2026-06-11,A,Korea Republic,Czechia,2,1,team_a_win,0.45,0.3,0.25,team_a_win,100,"South Korea boasts a superior roster featuring world-class talent like Son Heung-Min, Kim Min-Jae, and Lee Kang-In, reflected in their higher FIFA ranking (25th vs 41st). While Czechia enters with solid unbeaten form in recent pre-tournament friendlies, the Taegeuk Warriors' top-tier experience gives them a distinct edge in this Group A opener. Allocating the full $100 budget to a South Korea win maximizes value given their clear squad advantages.",https://www.mlssoccer.com/news/2026-fifa-world-cup-group-a-preview-mexico-south-africa-south-korea-czechia | https://www.foxsports.com/stories/soccer/world-cup-match-day-1-mexico-south-africa-south-korea-czechia,0.36,0.33,0.31,draw,100.0,"My view has shifted due to late reports detailing South Korea's disjointed shift to a 3-4-3 formation and key player form issues, which leaves them highly vulnerable to Czechia's dominant set-piece and aerial threats. Oddsmakers have tightened the lines significantly, and given the defensive, low-scoring tactical profiles of both squads, a draw now presents the most mathematically sound betting value.",https://www.theguardian.com/football/2026/may/28/south-korea-world-cup-2026-team-guide-soccer | https://www.foxsports.com/stories/soccer/2026-world-cup-south-korea-czechia-odds-predictions-picks | https://www.fanduel.com/research/south-korea-vs-czechia-prediction-world-cup-2026-who-will-score-first-goal-in-tonight-match,partially_correct,False,neither,the individual quality and resilience of South Korea's star players to overcome their tactical adjustments,last-minute pre-match reports regarding formation changes and shifting market odds,"If South Korea's elite attackers had failed to break through Czechia's physical defensive structure, the match would have likely ended in the low-scoring draw I projected at T-30min.","yes, I would maintain my original T-24h bet on a South Korea win and avoid overreacting to late-breaking tactical noise.",0.95,,1
m03,2026-06-12,D,USA,Paraguay,4,1,team_a_win,0.55,0.28,0.17,team_a_win,100,"The United States enters this opening Group D match with significant home-field advantage in Los Angeles and the confidence of a recent 2-1 friendly victory over Paraguay in November 2025. While Paraguay boasts a resilient defense forged in CONMEBOL qualifying, the USMNT's attacking depth and the intense home crowd support make them the statistical favorites. Backing the USA to secure three points is the most structurally sound choice given their historically strong performance metrics on domestic soil.",https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums | https://www.foxsports.com/stories/soccer/how-watch-2026-fifa-world-cup-full-schedule-dates-every-match,,,,,,,,,,,,,,,,duplicate block merged (file_order 3),2
m04,2026-06-12,B,Canada,Bosnia and Herzegovina,1,1,draw,0.38,0.35,0.27,draw,100,"While Canada benefits from an electric home atmosphere at Toronto Stadium, the loss of captain Alphonso Davies to a hamstring injury forces Jesse Marsch to drastically alter his transitional tactics against a battle-hardened Bosnian side. Bosnia arrives highly resilient after a dramatic playoff run, relying on the veteran savvy of Edin Dzeko and a compact defensive shape led by Sead Kolasinac to absorb pressure. Given Canada's historic World Cup winless streak and the immense psychological weight of an opening home match, a tactical stalemate presents the most analytically sound value.",https://www.fifa.com/en/match-centre/match/17/285023/289273/400021449?date=2026-06-12 | https://www.aninews.in/news/sports/football/fifa-world-cup-canada-aim-for-dream-start-as-bosnia-and-herzegovina-seek-to-upset-co-hosts-in-toronto20260612085603 | https://www.concacaf.com/competitions/fifa-world-cup/news/canada-hosts-bosnia-and-herzegovina-in-world-cup-2026,,,,,,,,correct,True,neither,Canada's ability to generate alternative attacking threats to score despite the absence of Alphonso Davies.,none,"If Alphonso Davies had been fit to play, Canada's superior transitional speed likely would have broken the deadlock to secure a narrow home victory.","No, because wagering on a draw offered the highest analytical value given the expected tactical stalemate, and the 1-1 result vindicated that strategy.",0.95,,4
m05,2026-06-13,B,Qatar,Switzerland,1,1,draw,0.08,0.17,0.75,team_b_win,100,"While Qatar will likely employ a low-block defensive structure to frustrate their opponents, Switzerland's tactical versatility under Murat Yakin—specifically their successful integration of a 3-4-3 system with Denis Zakaria aggressively overlapping—should effectively stretch the Qatari shape. Switzerland's superior midfield pivot of Xhaka and Freuler will dominate possession and easily exploit the transition vulnerabilities Qatar recently displayed in scoreless and winless friendlies against El Salvador and Ireland. Therefore, a full-stake bet on a dominant Swiss victory offers robust value given the stark disparity in both individual quality and collective tactical execution.",https://www.theguardian.com/football/2026/may/29/switzerland-world-cup-2026-team-guide | https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/switzerland-squad-announcement-murat-yakin | https://levisstadium.com/event/fifa-world-cup-group-stage-2026-06-13/,,,,,,,,incorrect,True,unlucky,The persistent resilience of Qatar's low-block defensive structure in preventing a multi-goal deficit despite facing overwhelming possession.,Switzerland's attacking ruthlessness and ability to efficiently translate midfield dominance into actual goal conversions.,"If Switzerland had converted their possession superiority into a two-goal cushion, Qatar would have been forced to abandon their defensive low-block, likely ensuring a Swiss victory.","no, backing a heavily favored team with a clear tactical and talent advantage remains a positive expected value decision despite the variance of a single draw.",0.85,,5
m06,2026-06-13,C,Brazil,Morocco,1,1,draw,0.45,0.35,0.2,draw,40,"While public sentiment overwhelmingly favors Brazil, Morocco's elite defensive organization under Walid Regragui and their recent 1-1 draw against a strong Norway squad demonstrate their sustained ability to neutralize top-tier attacking talent. Furthermore, Morocco's 2-1 victory over Brazil in 2023, coupled with Brazil's narrow 2-1 friendly win against Egypt last week, exposes lingering vulnerabilities in Brazil's ability to dismantle disciplined low blocks. Consequently, backing a tactical draw offers significantly higher expected value than a conventional Brazil win for this opening Group C fixture.",https://support.google.com/knowledgepanel/answer/9787176 | https://www.metlifestadium.com/events/detail/fifa-world-cup-2026-brazil-vs-morocco,,,,,,,,correct,True,neither,none,none,"If Brazil had managed to score an early goal and disrupt Morocco's disciplined defensive shape, the match likely would have opened up into a decisive Brazilian victory.","no, the pre-match tactical reasoning accurately identified the high expected value in backing a draw against the public consensus.",0.95,,6
m07,2026-06-13,C,Haiti,Scotland,0,1,team_b_win,0.16,0.23,0.61,team_b_win,100,"Scotland boasts a significantly more experienced squad featuring top-flight European talent like Andy Robertson and Scott McTominay, whereas Haiti is making its first World Cup appearance in 52 years. Furthermore, Scotland enters the tournament in excellent form, having outscored their opponents 8-1 in recent friendlies. Despite the anticipated heavy crowd support for Haiti from the local diaspora in Boston, Scotland's tactical superiority and depth make them the highly probable winner.",https://www.foxsports.com/stories/soccer/2026-world-cup-scotland-haiti-odds-predictions-picks | https://www.hindustantimes.com/sports/others/haiti-at-the-world-cup-is-more-than-an-underdog-tale-it-is-the-story-of-global-migration-101781238678482.html,,,,,,,,correct,True,neither,Haiti's defensive organization and resilience in a low block,Scotland's recent high-scoring offensive form in pre-tournament friendlies,"If Haiti had capitalized on a late counter-attack opportunity, the match would have ended in a draw.","no, because backing Scotland's superior technical quality was the correct value decision, even if the final margin was narrow.",0.95,,7
m08,2026-06-13,D,Australia,Türkiye,2,0,team_a_win,0.2,0.28,0.52,team_b_win,40,"Türkiye enters the match with significant momentum and a deeper pool of top-flight European talent, anchored by dynamic playmakers like Arda Güler. In contrast, Australia is fielding a heavily retooled squad under Tony Popovic that includes 17 World Cup debutants, which may leave them vulnerable on the game's biggest stage. Backing a Türkiye victory offers the best value given their structural and experiential advantages.",https://www.theguardian.com/sport/2026/jun/12/world-cup-football-and-t20-cricket-galore-plus-f1-in-barcelona-follow-with-us | https://socceroos.com.au/match/australia-v-turkiye-fifa-world-cuptm-2026-15-06-2026/22278773 | https://www.aljazeera.com/sports/2026/6/11/world-cup-2026-full-match-schedule-groups-teams-and-start-times,,,,,,,,incorrect,False,neither,Australia's tactical cohesion and defensive discipline under Tony Popovic despite their squad's lack of tournament experience.,Türkiye's individual talent pool and recent European momentum relative to their collective tournament readiness.,"If Türkiye had converted an early chance to break Australia's defensive block, the match might have opened up to favor their attacking playmakers.","Yes, I would pass on the bet or heavily adjust the probabilities to account for Australia's structural resilience on home soil.",0.9,,8
m09,2026-06-14,E,Germany,Curaçao,7,1,team_a_win,0.88,0.09,0.03,team_a_win,100,"Germany enters this Group E opener with overwhelming structural advantages, including elite player valuations, tactical maturity, and a robust track record in high-stakes World Cup environments. While Curaçao's unprecedented qualification demonstrates impressive regional progress, the vast disparity in top-flight international experience heavily concentrates the probabilistic outcome on a German victory, making a maximum stake the most mathematically sound position.",https://www.fifa.com/en/articles/match-schedule-fixtures-results-teams-stadiums | https://www.nrgpark.com/event/germany-vs-curacao/ | https://mashable.com/entertainment/fifa-world-cup-schedule-today-kickoff-livestream-june-14,,,,,,,,correct,True,neither,none,none,"Even if Curaçao had adopted a purely defensive low-block strategy to limit the scoreline, the structural disparity in talent was so immense that a German victory would have remained the inevitable outcome.","no, placing the maximum stake on a fundamentally sound, extremely high-probability outcome was validated by the match reality.",0.95,,9
m10,2026-06-14,F,Netherlands,Japan,2,2,draw,0.42,0.31,0.27,draw,40,"Despite the traditional prestige of the Netherlands, their recent pre-tournament form exposes defensive vulnerabilities, having failed to keep a clean sheet in their last four matches including a loss to Algeria. Japan has demonstrated elite tactical discipline by recently securing three consecutive 1-0 victories against formidable European sides like England and Scotland. This stylistic clash between a disjointed Dutch defense and a highly organized Japanese block creates a high probability for a tightly contested stalemate.",https://www.fifa.com/en/match-centre/match/17/285023/289273/400021470 | https://www.watchathletics.com/schedule/watchlive/11873,,,,,,,,correct,True,lucky,Japan's offensive potency and ability to capitalize in a high-scoring shootout.,The probability of a low-scoring affair dictated entirely by Japan's disciplined defensive block.,"If the Netherlands had addressed their pre-tournament defensive leaks, they likely would have held on for a victory.","no, because capitalizing on the Netherlands' defensive flaws to predict a stalemate ultimately yielded a winning bet, despite the unexpected volume of goals.",0.9,,10
