match_id,date,stage,team_a,team_b,final_score_a,final_score_b,outcome,decided_by,pen_a,pen_b,advanced,pre_p_team_a_win,pre_p_draw,pre_p_team_b_win,pre_bet_pick,pre_bet_stake_usd,pre_reasoning,pre_key_sources,refl_outcome_vs_prediction,refl_was_well_calibrated,refl_luck,refl_key_factor_missed,refl_key_factor_overweighted,refl_counterfactual,refl_would_bet_differently,refl_confidence,_parse_issue,file_order
m73,2026-06-28,round_of_32,South Africa,Canada,0,1,team_b_win,regulation,,,team_b,0.23,0.28,0.49,team_b_win,65,"Canada enters as clear favorites thanks to a superior FIFA ranking (~30th vs South Africa's ~60th), greater attacking quality led by in-form Jonathan David and Alphonso Davies (even if doubtful to start), and deeper squad options despite both teams reaching their first World Cup knockout stage. South Africa has shown impressive defensive organization and resilience under Hugo Broos to advance from a tough group, but lacks the individual firepower to regularly overcome Canada's quality on a neutral-ish venue. Expect a tight, low-scoring contest where Canada's edge in possession and transitions proves decisive.",https://www.sportsline.com/insiders/south-africa-vs-canada-odds-predictions-2026-world-cup-picks-from-proven-soccer-expert/ | https://www.juvefc.com/world-cup-r32-south-africa-canada-predictions/ | https://www.espn.com/soccer/story/_/id/46664763/fifa-mens-top-50-world-rankings | https://www.rotowire.com/soccer/article/south-africa-vs-canada-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-round-of-32-119937,correct,True,neither,Canada's squad depth allowing them to control the game and secure a clean sheet even with Davies doubtful,South Africa's defensive organization and knockout motivation being enough to force a draw or upset,"If South Africa had created and converted one clear chance on the counter, the result could easily have been a draw instead of Canada's narrow win.","No, my identification of Canada as clear favorites due to ranking, attacking quality, and depth was validated by the 1-0 result and the bet succeeded.",0.8,,0
m74,2026-06-29,round_of_32,Germany,Paraguay,1,1,draw,penalties,3,4,team_b,0.8,0.14,0.06,team_a_win,75,"Germany are overwhelming favorites with vastly superior squad quality (Musiala, Wirtz, Havertz, Kimmich), higher FIFA ranking (~10th vs ~41st), and attacking firepower that should overwhelm Paraguay's compact but limited defensive setup under Alfaro. Paraguay advanced from the group but showed patchy form and face further issues with key absences/injuries; Germany are expected to control the game and advance comfortably despite minor squad niggles like Schlotterbeck's absence. A German win is by far the most likely outcome in this Round of 32 matchup.",https://www.fifa.com/en/match-centre/match/17/285023/289287/400021513 | https://www.goal.com/en-us/news/germany-paraguay-world-cup-preview/blt69845ea4b54b1ac0 | https://www.toffeeweb.com/germany-vs-paraguay-predictions-picks-odds-29-06-2026/ | https://sports.yahoo.com/articles/world-cup-2026-germany-paraguay-090101970.html | https://www.rotowire.com/soccer/article/germany-vs-paraguay-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-round-of-32-120070,incorrect,False,unlucky,Paraguay's defensive organization and ability to force/ win a penalty shootout,Germany's attacking superiority leading to a comfortable regulation-time win,"If Germany had converted one of their chances to score a second goal before extra time or penalties, they likely would have advanced without the shootout lottery.","yes, I would have bet a lower stake on Germany win or considered the draw/penalties more given knockout variance",0.75,,1
m75,2026-06-29,round_of_32,Netherlands,Morocco,1,1,draw,penalties,2,3,team_b,0.46,0.3,0.24,team_a_win,40,"Netherlands are slight favorites with superior squad depth, attacking talent (Gakpo, Malen, Depay) and midfield control via De Jong/Gravenberch/Reijnders, while topping their group and showing potency despite minor defensive lapses. Morocco remain extremely dangerous with elite organization, Hakimi's threat on the break, and a long unbeaten run, making this a tight knockout tie where an upset is live but the Dutch edge is real per current form and rankings. Bookmakers price Netherlands around +115, supporting a moderate stake on their 90-minute win.",https://www.goal.com/en-us/news/netherlands-morocco-world-cup-preview/blt3172427e299982cd | https://www.racingpost.com/sport/football-tips/world-cup-2026/netherlands-vs-morocco-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-ajovN0y42CuT/ | https://dknetwork.draftkings.com/2026/06/26/opening-odds-for-netherlands-vs-morocco-in-the-fifa-2026-world-cup/ | https://inside.fifa.com/fifa-world-ranking/men,partially_correct,True,unlucky,Morocco's exceptional defensive discipline and penalty shootout prowess in knockout scenarios,Netherlands' attacking talent and squad depth leading to a regulation win,"If the Netherlands had converted one more clear chance in regulation instead of forcing penalties, their slight quality edge likely would have secured advancement.","yes, I would bet on draw or Morocco to advance given their proven knockout resilience and ability to frustrate stronger sides",0.75,,2
m76,2026-06-29,round_of_32,Brazil,Japan,2,1,team_a_win,regulation,,,team_a,0.64,0.23,0.13,team_a_win,55,"Brazil holds a clear quality edge with Vinicius Junior's world-class threat, Ancelotti's tactical setup, and dominant group-stage scoring (including 3-0 wins), while Japan—despite impressive organization, recent friendly win over Brazil, and unbeaten group run—lacks comparable depth and firepower in a high-stakes knockout. Raphinha's absence is a minor note but Brazil's squad depth and motivation at NRG Stadium should prevail over 90 minutes or beyond. Market odds undervalue Brazil slightly relative to my assessed edge.",https://sports.yahoo.com/articles/brazil-vs-japan-predictions-picks-194300747.html | https://totalfootballanalysis.com/competitions/fifa-world-cup-2026/world-cup-r32-brazil-japan-predictions | https://www.rotowire.com/soccer/article/brazil-vs-japan-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-round-of-32-120069 | https://www.nytimes.com/athletic/7398605/2026/06/28/world-cup-predictions-round-of-32-md1819/,correct,True,neither,Japan's ability to create and convert a goal despite Brazil's control,Brazil's squad depth leading to a more comfortable/dominant win,"If Japan had converted one more chance or Brazil missed a key opportunity like Vinicius' contribution, the game likely ends in a draw.","no, the 2-1 result aligns with expected Brazil edge in quality and the close but favorable outcome reinforces betting on them",0.75,,3
m77,2026-06-30,round_of_32,Mexico,Ecuador,2,0,team_a_win,regulation,,,team_a,0.58,0.26,0.16,team_a_win,60,"Mexico dominated Group A with 3 wins and 3 clean sheets as co-hosts, returning to Azteca with massive home support where they've been unbeaten in recent WC matches. Ecuador advanced dramatically via a win over Germany but showed inconsistency (loss to Ivory Coast, draw vs Curaçao). Historical H2H favors Mexico significantly. Low-scoring affair likely, but El Tri edges it.",https://www.foxsports.com/stories/soccer/mexico-world-cup-ecuador-round-of-32 | https://www.sportsmole.co.uk/football/mexico/world-cup-2026/preview/mexico-vs-ecuador-prediction-team-news-lineups_600278.html | https://www.espn.com/soccer/match/_/gameId/760491/ecuador-mexico | https://inside.fifa.com/fifa-world-ranking/men,correct,True,neither,none,none,"If Ecuador had converted one of their chances more clinically early on, it could have forced Mexico into a more open game and potentially altered the outcome.","no, the pre-match reasoning on Mexico's form, clean sheets, and home advantage held up strongly",0.85,,4
m78,2026-06-30,round_of_32,France,Sweden,3,0,team_a_win,regulation,,,team_a,0.78,0.14,0.08,team_a_win,70,"France dominated their group with 3 wins, high goal output, and elite depth featuring Mbappé, Dembélé, and a strong defense. Sweden advanced unevenly as a third-place team with a poor defensive record (heavy loss to Netherlands) and face a massive step up. Historical favoritism and current form make a France win the clear outcome in this knockout clash.",https://www.goal.com/en/news/france-sweden-world-cup-preview/bltfb049a9f4a28d059 | https://www.foxsports.com/stories/soccer/world-cup-round-32-predictions-one-thing-watch-every-team | https://www.rotowire.com/soccer/article/france-vs-sweden-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-round-of-32-120217,correct,True,neither,none,none,"If Sweden had kept a key defender like Isak Hien fit and parked the bus more effectively, they might have limited the scoreline but still likely lost.","no, the high probability on France win was justified by their group dominance and Sweden's inconsistencies",0.85,,5
m79,2026-06-30,round_of_32,Côte d'Ivoire,Norway,1,2,team_b_win,regulation,,,team_b,0.23,0.23,0.54,team_b_win,60,"Norway, with Erling Haaland (4 goals already) and a strong squad including Ødegaard, are Opta favorites at ~56% to win in 90 mins after topping qualifiers impressively and advancing comfortably. Ivory Coast reached knockouts for the first time but face a tougher test; rankings are close but Norway's attacking edge and rest strategy give them the nod in neutral Dallas. Expect a competitive but Norway-favored match.",https://theanalyst.com/articles/ivory-coast-vs-norway-prediction-world-cup-2026-match-preview | https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/cote-divoire-norway-live-stream-team-news-tickets | https://dknetwork.draftkings.com/2026/06/27/opening-odds-for-ivory-coast-vs-norway-in-the-fifa-2026-world-cup/,correct,True,neither,Ivory Coast's ability to score once despite being underdogs,none,"If Norway had not rested key players effectively or if Haaland was less clinical, Ivory Coast might have forced extra time.","no, the pre-match edge for Norway with Haaland and squad quality justified the bet",0.75,,6
m80,2026-07-01,round_of_32,USA,Bosnia and Herzegovina,2,0,team_a_win,regulation,,,team_a,0.72,0.18,0.1,team_a_win,65,"USA (ranked ~15-17) are strong favorites at home in a Round of 32 knockout vs Bosnia (~61st). They topped their group with strong results (including wins over Paraguay/Australia), have superior depth/talent (Pulisic et al.), and are unbeaten in prior meetings with Bosnia. Bosnia advanced as group third after an upset but conceded frequently and face a big step up. Expect USA control, likely 2-1 or 3-1.",https://www.foxsports.com/stories/soccer/usmnt-world-cup-pulisic-bosnia-and-herzegovina-storylines-projected-lineup-predictions | https://www.cbssports.com/soccer/news/usmnt-bosnia-and-herzegovina-odds-prediction-2026-world-cup-round-of-32-picks/ | https://www.espn.com/soccer/story/_/id/49212832/united-states-vs-bosnia-herzegovina-fifa-world-cup-2026-tv-channel-how-watch-kick-live-stream-injury-predicted-line-ups,correct,True,neither,none,none,"If Bosnia had converted one of their better chances or USA had been less clinical in attack, it could have been a closer draw or narrow Bosnia upset.","no, the core reasoning on USA superiority and home advantage held up strongly",0.85,,7
m81,2026-07-01,round_of_32,Belgium,Senegal,3,2,team_a_win,regulation,,,team_a,0.52,0.27,0.21,team_a_win,40,"Belgium (higher ranked, better group momentum with 5-1 win vs New Zealand) has superior squad depth, stars like De Bruyne/Lukaku/Courtois, and experience in knockouts vs Senegal (mixed group stage: losses to France/Norway, big win vs weak Iraq). Belgium favored to control via midfield/attack but Senegal's pace/transition threat makes it competitive—not a blowout. First H2H favors Belgium's quality.",https://www.si.com/soccer/belgium-vs-senegal-world-cup-preview-predictions-lineups-7-1-26 | https://www.whoscored.com/matches/1992065/preview/international-fifa-world-cup-2026-belgium-senegal | https://sports.yahoo.com/articles/world-cup-2026-r32-belgium-130500423.html | https://www.sportsmole.co.uk/football/belgium/world-cup-2026/preview/belgium-vs-senegal-prediction-team-news-lineups_600358.html,correct,True,neither,none,none,"If Senegal had converted one more chance or Belgium's defense held firmer late, it could have been a draw instead of 3-2.","no, Belgium win was the right side given squad quality edge shown",0.75,,8
m82,2026-07-01,round_of_32,England,Congo DR,2,1,team_a_win,regulation,,,team_a,0.78,0.17,0.05,team_a_win,70,"England topped their group comfortably with strong performances including a 4-2 win over Croatia and 2-0 over Panama, boasting elite talent like Kane and Bellingham under Tuchel. DR Congo advanced with a gritty 3-1 win over Uzbekistan but struggled against stronger sides (1-1 Portugal, 0-1 Colombia). Massive talent and experience gap makes England heavy favorites in knockout stage.",https://www.cbssports.com/soccer/news/england-congo-dr-odds-prediction-start-time-2026-world-cup-round-of-32-picks/ | https://www.fifa.com/en/match-centre/match/17/285023/289287/400021512 | https://en.wikipedia.org/wiki/DR_Congo_national_football_team,correct,True,neither,DR Congo's resilience and ability to score a goal in a competitive knockout match,none,"If DR Congo had converted one more chance or England been slightly less clinical, it could have gone to extra time or penalties, though England's quality would likely still prevail.","no, the 2-1 win reinforces betting on England as heavy favorites given the talent gap",0.8,,9
