match_id,date,group,team_a,team_b,final_score_a,final_score_b,outcome,pre_p_team_a_win,pre_p_draw,pre_p_team_b_win,pre_bet_pick,pre_bet_stake_usd,pre_reasoning,pre_key_sources,t30_p_team_a_win,t30_p_draw,t30_p_team_b_win,t30_bet_pick,t30_bet_stake_usd,t30_reasoning,t30_key_sources,refl_outcome_vs_prediction,refl_was_well_calibrated,refl_luck,refl_key_factor_missed,refl_key_factor_overweighted,refl_counterfactual,refl_would_bet_differently,refl_confidence,_parse_issue,file_order
m01,2026-06-11,A,Mexico,South Africa,2,0,team_a_win,0.66,0.21,0.13,team_a_win,25,"Mexico (Team A) are strong favorites at home in Estadio Azteca, aided by ~2,250m altitude that disadvantages sea-level South Africa, excellent recent defensive form (conceding ~2 goals in 8 internationals, six clean sheets), and a deeper, more experienced squad. Market odds (~-209 to -240, implying ~68-70%) and models (Dimers 68.2%, prediction markets ~69.5%) align with a clear Mexico edge, while South Africa's path realistically depends on a low-scoring draw or upset. The ~-209/-240 price offers thin value, so a modest stake is warranted rather than a large one.",https://news.sportsinteraction.com/soccer/fifa-world-cup/story/mexico-vs-south-africa-odds-prediction-061126-217110 | https://www.dimers.com/bet-hub/swc/schedule/2026_1_mex_rsa | https://defirate.com/prediction-markets/world-cup-odds/mexico/ | https://www.racingpost.com/sport/football-tips/world-cup-2026/mexico-vs-south-africa-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-alRa60K95Anc/ | https://theanalyst.com/articles/mexico-vs-south-africa-prediction-world-cup-2026-match-preview,0.67,0.21,0.12,no_bet,0.0,"Confirmed lineups reinforce yesterday's read: Mexico field a strong, experienced XI (Montes captaining, Vásquez, Jiménez, Quiñones), while South Africa set up cautiously in a defensive 3-5-2/5-3-2 to limit the hosts, lowering goal expectancy but offering little attacking threat. My probabilities are essentially unchanged, but current prices (Mexico ~-240 to -250, implying ~71% after vig) leave no value — the market price meets or slightly exceeds my own ~67% estimate, so backing Mexico is -EV, and the draw (+360) and South Africa (+700) aren't attractive either. With no edge available, the disciplined call is no bet.",https://bolavip.com/en/world-cup/mexico-vs-south-africa-predicted-lineups-for-2026-world-cup-inaugural-game | https://www.cbssports.com/soccer/news/mexico-south-africa-odds-prediction-time-2026-world-cup-picks-line-soccer-best-bets/ | https://news.sportsinteraction.com/soccer/fifa-world-cup/story/mexico-vs-south-africa-odds-prediction-061126-217110 | https://khelnow.com/football/world-football-mexico-starting-lineup-vs-south-africa-202606,correct,True,neither,none,"South Africa's defensive setup as a drag on goal expectancy — they conceded twice, so the cautious 5-3-2 was less effective than I implied when leaning toward a low-scoring margin.","If South Africa had converted an early transition chance to score first, Mexico's home-crowd pressure could have produced a tighter, nervier game and plausibly a draw.","no, the T-30min no-bet was correct in process terms — Mexico won as expected but at ~-240 the price offered no edge, and being right about the outcome doesn't validate a -EV wager.",0.82,,0
m02,2026-06-11,A,Korea Republic,Czechia,2,1,team_a_win,0.43,0.27,0.3,team_a_win,30,"The Opta supercomputer rates South Korea favourites at 42.9% vs Czechia's 31.1% with a 26% draw, and Korea's superior attacking talent (Son Heung-min) plus strong unbeaten qualifying form give them an edge in this open group opener. FanDuel's +165 price on Korea implies roughly 38% which is below my ~43% estimate, offering modest positive expected value. I size the stake modestly because Czechia's elite set-piece threat against Korea's three-back system makes a draw or upset genuinely live.",,0.42,0.28,0.3,team_a_win,25.0,"View essentially unchanged from yesterday: Korea remains a slight favourite (Opta 42.9%), now firming to roughly +155 to +165 across books, with confirmed/near-confirmed lineups showing a full-strength front line of Son, Lee Kang-in and Hwang Hee-chan and no major injury surprises. At +155 (implied ~39%) my ~42% estimate still gives modest positive EV, so I keep the same value pick but trim the stake slightly given Korea's price has shortened and the BTTS-No/under signals point to a genuinely tight, low-event game where a draw or Czech set-piece upset is very live.",,correct,True,neither,"none — I correctly flagged Czechia's set-piece threat as the realistic path to them scoring, and they did get one, consistent with a 2-1 outcome","the BTTS-No/under signals, which I cited as a reason to trim the stake but which didn't materialize since this was a 2-1, both-teams-scored, over-2.5 result","If Czechia had converted one of their dangerous set pieces into a second goal, this plausibly ends 2-2 or sees them steal a draw, so the margin was thin despite the correct top pick.","no — Korea at +155 with my ~42% estimate was a sound positive-EV value pick that landed, and the modest stake was appropriate given the genuine closeness of the match",0.8,,1
m03,2026-06-12,D,USA,Paraguay,4,1,team_a_win,0.46,0.29,0.25,no_bet,0,"USA are modest home favorites (~-105/+105 ML, Paraguay +310, draw ~+240) with home-crowd advantage at SoFi and no reported injuries, but they've lost 3 of their last 4 while Alfaro's Paraguay arrive unbeaten in 8 (wins over Brazil, Argentina, Uruguay) with an elite defensive structure, though key man Julio Enciso is an injury doubt. My estimates (USA ~46%, draw ~29%, Paraguay ~25%) land almost exactly on the vig-adjusted market consensus, so there is no exploitable edge in any outcome. With no edge, the expected-value-maximizing decision is to pass rather than pay the bookmaker's margin.",https://www.espn.com/soccer/match//gameId/760417/paraguay-united-states | https://www.espn.com/soccer/story//id/49017942/fifa-world-cup-2026-usmnt-vs-paraguay-kickoff-how-watch-stats-team-news | https://www.rotowire.com/soccer/article/usa-vs-paraguay-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-d-117529 | https://www.lineups.com/betting/usa-vs-paraguay-world-cup-match-preview-picks-odds-for-friday-june-12-2026/,,,,,,,,partially_correct,False,neither,I underweighted USA's home-crowd ceiling and the chance that Paraguay's defense-first approach would break down decisively once they conceded; a 4-1 scoreline implies USA's attacking quality was higher than the market or I credited.,"I gave too much weight to Paraguay's unbeaten run and defensive solidity, and to USA's poor recent form (3 losses in 4), treating the matchup as nearly a coin flip when the talent and venue gap was larger than priced.","If Paraguay had scored first instead of conceding early, their counterattacking game plan would have been viable and the match likely stays tight rather than becoming a rout.","no, because the outcome was correct directionally but the market was efficiently priced and a 4-1 result was a low-probability tail even conditional on a USA win, so a 'no_bet' on a fairly-priced favorite was still the disciplined call ex ante.",0.6,,2
m04,2026-06-12,B,Canada,Bosnia and Herzegovina,1,1,draw,0.55,0.27,0.18,team_a_win,35,"Canada are strong home favorites (-120 market odds, Opta supercomputer 58.3% win probability), unbeaten in their last eight matches with six clean sheets and only one loss in 28 games at BMO Field. Bosnia upset Italy to qualify but sit ~34 places below Canada in FIFA rankings and have drawn five straight in regulation. Market price (~1.83 decimal) offers modest positive expected value against my 0.55 estimate, warranting a measured stake while accounting for Canada's history of zero World Cup wins and possible absence of Alphonso Davies.",https://theanalyst.com/articles/canada-vs-bosnia-herzegovina-prediction-world-cup-2026-match-preview | https://www.cbssports.com/soccer/news/canada-bosnia-world-cup-2026-preview-predictions-watch-odds/ | https://www.foxsports.com/stories/soccer/2026-world-cup-canada-bosnia-herzegovina-odds-predictions-picks,,,,,,,,incorrect,True,unlucky,"Bosnia's run of consecutive regulation draws signaled a genuinely stubborn, hard-to-break-down side, which I noted but did not weight enough into the draw probability given a likely low-scoring game.","Home-crowd advantage and Canada's clean-sheet streak, which I leaned on to push the win probability to 0.55 despite Canada's complete lack of any prior World Cup win or draw.","If Canada had converted one of the chances implied by their attacking edge (Jonathan David, Buchanan), the predicted 1-0 win likely materializes, so a single finishing moment separated my forecast from the result.","no, the bet had positive expected value at the offered odds and a 27% draw estimate priced the realized outcome reasonably; one losing wager on a well-calibrated edge doesn't invalidate the process.",0.7,,3
m05,2026-06-13,B,Qatar,Switzerland,1,1,draw,0.08,0.15,0.77,team_b_win,25,"Switzerland enter in strong unbeaten qualifying form with clearly superior squad depth (Xhaka, Akanji, Embolo, Ndoye), while Qatar have failed to score in roughly four of their last five matches and looked incohesive in pre-tournament friendlies after canceled fixtures. Market consensus (Opta 76%, Kalshi ~81%, bookmaker implied ~78%) aligns tightly with a heavy Swiss favorite; the only restraint is that team_b_win at ~-334 offers thin value, so a modest stake is warranted rather than a large one.",https://theanalyst.com/articles/qatar-vs-switzerland-prediction-world-cup-2026-match-preview | https://www.squawka.com/us/news/world-cup/match-preview-qatar-vs-switzerland-06-13-26-world-cup-2026/ | https://www.covers.com/world-cup/qatar-vs-switzerland-prediction-picks-odds-saturday-6-13-2026 | https://www.espn.com/soccer/odds/_/gameId/760420,,,,,,,,incorrect,True,unlucky,"I noted that tournament openers can be cagey and that Qatar would sit deep to frustrate, but I did not weight Qatar's defensive organization and Switzerland's tendency toward slim, low-scoring margins heavily enough toward an outright draw.","Qatar's prolonged goal drought and incohesive friendlies — I treated their inability to score as more permanent than it was, when a single deep-block plus one moment was enough to claim a point.","If Switzerland had converted one of the chances their possession dominance was expected to generate, the favored 1-0/2-0 win occurs and my forecast lands.","no, a 15% draw probability against ~-334 favorite odds still justified a small stake on Switzerland; the result was within the expected variance and one outcome does not invalidate the process.",0.7,,4
m06,2026-06-13,C,Brazil,Morocco,1,1,draw,0.58,0.24,0.18,team_a_win,25,"Brazil are clear favorites at roughly -167/-175 (market-implied ~62%), with a deeper, more talented squad under Ancelotti. Morocco are genuinely dangerous (2022 semifinalists, reigning AFCON champions, beat Brazil 2-1 in 2023) with injury concerns to Mazraoui and Rahimi, so I shade slightly below the market and avoid overstaking. The modest stake reflects that Brazil's price offers little value and Morocco's upset potential is real in a tournament opener.",https://www.espn.com/soccer/match/_/gameId/760419/morocco-brazil | https://www.cbssports.com/soccer/news/brazil-morocco-world-cup-2026-preview-predictions-watch/ | https://www.whoscored.com/matches/1953860/preview/international-fifa-world-cup-2026-brazil-morocco,,,,,,,,incorrect,True,unlucky,Morocco's defensive organization and ability to frustrate elite attacking sides—the same traits that carried them to the 2022 semifinals were likely to neutralize Brazil's front line in a low-event opener.,"Brazil's individual talent advantage, which matters less in a single tournament opener where rust, pressure, and a disciplined opponent compress the quality gap.","If Brazil had converted one more of their likely chances given their superior attacking personnel, they win 2-1 and my pick cashes—so the result hinged on finishing, not on the underlying matchup being misjudged.","no, because a draw was my second-most-likely outcome at 24% and Brazil winning was correctly the modal scenario; one result doesn't invalidate a probabilistically sound bet, and I appropriately kept the stake small at $25.",0.7,,5
m07,2026-06-13,C,Haiti,Scotland,0,1,team_b_win,0.21,0.26,0.53,team_b_win,30,"Opta's supercomputer gives Scotland ~59% and the market lists them around -188/-225, reflecting a clear gap in squad quality (Premier League/UEFA-tested players like McTominay, Adams, Doak). Haiti are the second-lowest ranked nation (83rd) and conceded heavily in qualifying (13 goals, 11.7 xG against), though they showed attacking threat with a 4-0 win over New Zealand. The implied edge favors Scotland, but Haiti's organized block and Scotland's poor record vs the Americas (winless in last 9) cap value, so I stake moderately rather than heavily.",https://theanalyst.com/articles/haiti-vs-scotland-prediction-world-cup-2026-match-preview | https://www.squawka.com/us/news/world-cup/match-preview-haiti-vs-scotland-06-13-26-world-cup-2026/ | https://www.covers.com/world-cup/haiti-vs-scotland-prediction-picks-odds-saturday-6-13-2026,,,,,,,,correct,True,neither,"none — I correctly anticipated a tight, low-scoring grind, which the 1-0 scoreline reflects almost exactly (close to the 0-1 several previews projected)","Haiti's attacking upside from the 4-0 New Zealand result; they were kept off the scoresheet, suggesting their qualifying defensive frailties mattered more than their warm-up scoring","If Haiti had converted an early chance to stay level into the second half, Scotland's habit of letting opponents hang around could plausibly have turned this into a draw.","no — Scotland win was the value pick, the moderate stake was appropriate given the narrow scoreline showed real margin-of-error, and the result validated both the probabilities and the cautious sizing",0.82,,6
m08,2026-06-13,D,Australia,Türkiye,2,0,team_a_win,0.3,0.27,0.43,team_b_win,25,"The market prices Turkey as clear favorites (~-135), backed by superior individual quality (Güler, Yildiz, Çalhanoğlu), recent competitive sharpness against elite opposition (2-2 vs Spain), and a marginally better FIFA ranking, whereas Australia has shown vulnerability against technically superior, pressing teams. The implied probability on Turkey (~57%) feels slightly rich for a single World Cup match, so my estimate sits at 43%, but they remain the rational lean. A modest stake reflects the value edge balanced against the inherent unpredictability of one-off group-stage fixtures.",,,,,,,,,incorrect,True,unlucky,"Australia's defensive discipline and counterattacking threat were more potent against this specific opponent than I credited; a 2-0 margin suggests Turkey's creative core was effectively neutralized, which I underweighted.","I leaned too heavily on the betting market's framing of Turkey's individual quality (Güler, Yildiz, Çalhanoğlu) translating into match control, rather than weighing how often technical favorites underperform in single tournament fixtures.","If Turkey had converted early chances or Australia hadn't scored first, the game could plausibly have opened up into the favorable matchup the market expected, so the result was sensitive to game state.","no, because the pre-match information genuinely favored Turkey and a single 2-0 loss doesn't invalidate a process that correctly priced them as the rational lean—my 43% on Turkey already reflected real uncertainty.",0.6,,7
m09,2026-06-14,E,Germany,Curaçao,7,1,team_a_win,0.92,0.06,0.02,no_bet,0,"Germany (FIFA #10, on a nine-match winning streak) are overwhelming favorites at roughly 1/20 against World Cup debutant Curaçao, the smallest nation ever to qualify and losers of three of their last four. The implied win odds (~95%) offer essentially no value — a $100 stake on Germany returns only ~$3.70 profit — while a Curaçao upset at 100/1 has negligible expected value despite the long price, so the disciplined play is no bet.",https://www.juvefc.com/germany-v-curacao-predictions/ | https://www.lineups.com/betting/germany-vs-curacao-world-cup-match-preview-picks-odds-for-sunday-june-14-2026/ | https://www.espn.com/soccer/match/_/gameId/760422/curacao-germany,,,,,,,,correct,True,neither,"I slightly underweighted the margin of victory — a 7-1 scoreline confirms the over-goals markets the previews flagged were the real edge, not the win/draw/loss line I focused on.","I gave nonzero weight to a Curaçao goal as part of a possible 'tighter than expected' narrative from one preview, but the result showed Germany's dominance was total despite Curaçao managing a consolation goal.","Even with significant variance in either direction, the result would not have changed — Germany's quality gap was far too large for any realistic single factor to flip the outcome.","no, the no-bet on the match line was still correct given the ~1/20 odds offered no value, though the over-4.5-goals market would have been the genuinely profitable play I correctly identified but didn't act on.",0.85,,8
m10,2026-06-14,F,Netherlands,Japan,2,2,draw,0.5,0.27,0.23,team_a_win,30,"Netherlands are clear favorites (Opta supercomputer 49.2%, Kalshi 49%, bookmakers ~+100/+112) anchored by a Van Dijk-led defense that conceded just 4 goals in qualifying, while Japan are missing key attackers Mitoma, Minamino and Endo. The best Netherlands moneyline price (+112 / 2.12 decimal) implies ~47% but my estimate is ~50%, giving a modest positive expected value, so a small-to-moderate stake on the Dutch win is justified rather than the full budget given Japan's genuine counter-attacking form (recent wins over Brazil and England).",https://theanalyst.com/articles/netherlands-vs-japan-prediction-world-cup-2026-match-preview | https://www.squawka.com/us/news/world-cup/match-preview-netherlands-vs-japan-06-14-26-world-cup-2026/ | https://sports.yahoo.com/articles/netherlands-vs-japan-picks-predictions-164551362.html | https://www.racingpost.com/sport/football-tips/world-cup-2026/netherlands-vs-japan-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-aHebD0x5a8Gy/,,,,,,,,incorrect,True,unlucky,"Despite noting Netherlands had not been airtight defensively, I underweighted Japan's ability to score multiple goals even with their attacking absences—their counter-attacking threat materialized into a draw, the exact 'live shared result' the goal markets were signaling.","The strength of the Van Dijk-anchored Dutch defense, which I treated as potentially the best at the tournament but which conceded twice.","If Netherlands had converted one more of their chances or Japan had been less clinical on the counter, the Dutch likely edge a 2-1 or 3-2 win, matching my prediction.","no, the bet had positive expected value at the price given my ~50% estimate and a 27% draw probability is an inherent risk I correctly priced; one losing wager on a sound process does not invalidate the decision.",0.7,,9
