match_id,date,group,team_a,team_b,final_score_a,final_score_b,outcome,pre_p_team_a_win,pre_p_draw,pre_p_team_b_win,pre_bet_pick,pre_bet_stake_usd,pre_reasoning,pre_key_sources,t30_p_team_a_win,t30_p_draw,t30_p_team_b_win,t30_bet_pick,t30_bet_stake_usd,t30_reasoning,t30_key_sources,refl_outcome_vs_prediction,refl_was_well_calibrated,refl_luck,refl_key_factor_missed,refl_key_factor_overweighted,refl_counterfactual,refl_would_bet_differently,refl_confidence,_parse_issue,file_order
m01,2026-06-11,A,Mexico,South Africa,2,0,team_a_win,0.77,0.16,0.07,team_a_win,65,"Mexico, ranked ~15th globally with strong recent friendly form (wins over Serbia, Australia, Ghana), enter as overwhelming favorites against 60th-ranked South Africa due to superior squad quality, organization under Javier Aguirre, and an intimidating home opener at high-altitude Estadio Azteca with fervent support. South Africa, despite organizational improvements under Hugo Broos, arrive winless in recent matches with limited attacking threat and face a massive mismatch in experience and depth. Expect Mexico to dominate early and secure a comfortable win in front of a roaring crowd.",https://www.fifa.com/en/articles/mexico-south-africa-preview-live-stream-team-news-tickets | https://www.sportsmole.co.uk/football/mexico/world-cup-2026/preview/mexico-vs-south-africa-prediction-team-news-lineups_598869.html | https://sports.yahoo.com/articles/mexico-vs-south-africa-prediction-130408013.html | https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A | https://www.rotowire.com/soccer/article/2026-world-cup-group-a-preview-mexico-south-africa-south-korea-czechia-tactics-lineups-set-pieces-odds-111369,0.76,0.17,0.07,team_a_win,70.0,"View unchanged from yesterday as latest confirmed/predicted lineups (Mexico: Rangel; Gallardo/Vasquez/Montes/Reyes; Gutierrez/Lira/Fidalgo; Quinones/Alvarado/Jimenez; South Africa: Williams; Mudau/Okon/Mbokazi/Modiba fit; Mokoena/Sithole/Mbatha; Moremi/Foster/Appollis) and team news show no surprises or key absences. Mexico's superior squad, attacking options, and massive Azteca home/altitude edge remain decisive against a well-organized but outmatched Bafana Bafana side with poor recent form. Odds still list Mexico as heavy favorites (~-235 to -270 ML).",https://www.aljazeera.com/sports/2026/6/10/mexico-south-africa-fifa-world-cup-2026-match-lineup-players-news-football | https://www.usatoday.com/story/sports/soccer/worldcup/2026/06/10/mexico-starting-lineup-el-tri-world-cup-south-africa/90500003007/ | https://www.espn.com/soccer/odds/_/gameId/760415 | https://www.sportsmole.co.uk/football/mexico/injury-news/team-news/mexico-vs-south-africa-injury-suspension-list-predicted-xis_598872.html | https://sports.yahoo.com/articles/mexico-vs-south-africa-world-130647150.html,correct,True,neither,none,none,"If South Africa had shown more clinical finishing on their rare counters or Mexico had been wasteful despite control, a draw or 1-0 might have occurred, but the quality and home gap made a Mexico win the expected outcome.","no, the clean 2-0 win at Azteca validated the heavy favorite assessment and high Mexico win probability in both forecasts",0.85,,0
m02,2026-06-11,A,Korea Republic,Czechia,2,1,team_a_win,0.42,0.32,0.26,team_a_win,55,"South Korea holds a modest edge over Czechia due to a higher FIFA ranking (25th vs 41st), superior squad quality with stars like Son Heung-min, and better acclimatization to Guadalajara's ~1,566m altitude after targeted preparation, despite mixed recent friendlies and some injury doubts. Czechia is resilient and dangerous on the counter via Schick but has less depth and World Cup pedigree in this high-stakes opener. Bookmaker odds are near even, creating slight value on a South Korea win at around +160 to +175.",https://www.squawka.com/us/news/world-cup/match-preview-south-korea-vs-czech-republic-06-11-26-world-cup-2026/ | https://www.mlssoccer.com/news/2026-fifa-world-cup-group-a-preview-mexico-south-africa-south-korea-czechia | https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A | https://apnews.com/article/world-cup-mexico-altitude-mexico-city-guadalajara-37523ef87daa26b99e530373b5dec92b | https://www.theguardian.com/football/2026/may/28/south-korea-world-cup-2026-team-guide-soccer | https://www.bbc.com/sport/football/articles/cwy29rxjg47o,0.41,0.33,0.26,team_a_win,50.0,"My view remains largely unchanged from yesterday as confirmed/predicted lineups show no major surprises or absences (Bae Jun-ho doubtful but not a starter; Lee Tae-seok fit), with both sides at full strength in a physically demanding, high-altitude opener. South Korea retains a narrow edge via superior talent (Son Heung-min, Lee Kang-in, Kim Min-jae) and better altitude acclimatization, though Czechia's organization, set-piece threat (Soucek/Krejci), and motivation keep it extremely tight per live odds (~+160 SK / +210 draw / +185 Czech). Modest value persists on a South Korea win.",https://www.aljazeera.com/sports/2026/6/11/south-korea-vs-czechia-world-cup-group-match-teams-start-and-lineups | https://www.rotowire.com/soccer/article/south-korea-vs-czechia-picks-tips-odds-best-bets-2026-world-cup-group-a-117679 | https://www.actionnetwork.com/soccer/czechia-vs-south-korea-prediction-pick-world-cup-odds-for-thursday-june-11 | https://sports.yahoo.com/articles/preview-south-korea-vs-czech-112500290.html | https://www.espn.com/soccer/odds/_/gameId/760414,correct,True,neither,none,recent mixed friendlies and minor injury doubts for South Korea,"If Czechia's set-piece organization or Schick had produced an early goal, they could have sat deeper and turned it into a draw.","no, the narrow probabilistic edge to South Korea win justified a moderate stake on the slight favorite despite tight odds",0.8,,1
m03,2026-06-12,D,USA,Paraguay,4,1,team_a_win,0.6,0.26,0.14,team_a_win,65,"USA holds clear edges as 2026 World Cup hosts in their Group D opener: 17th in FIFA rankings vs Paraguay's 41st, recent 2-1 friendly win over them, full squad with fit Chris Richards, and electric home support at SoFi Stadium, while Paraguay returns after 16 years missing star attacker Julio Enciso (thigh injury). Paraguay's physical, defensive style under Alfaro can frustrate and keep scores low, but USMNT quality (Pulisic, Balogun, Pulisic-led attack) and motivation should deliver three points. Betting markets list USA as slight favorites (~ -105), consistent with this edge.",https://www.ussoccer.com/stories/2026/06/usmnt/opponent-profile-paraguay-los-angeles-world-cup-match-preview | https://www.foxsports.com/stories/soccer/2026-world-cup-usa-paraguay-odds-prediction-picks | https://www.espn.com/soccer/story/_/id/46664763/fifa-mens-top-50-world-rankings | https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/usa-paraguay-preview-live-stream-team-news-tickets,,,,,,,,correct,True,neither,USA's clinical attacking efficiency and ability to break down Paraguay's defense in transition and set pieces once the game opened up,Paraguay's defensive resilience keeping the match tight and low-scoring,"If Julio Enciso had been fully fit and started, Paraguay might have offered more threat on the counter and limited USA to a narrower 2-1 or 3-1 win.","no, the team_a_win pick and 65 stake aligned well with the identified edges in ranking, H2H, home advantage, and Enciso absence that all proved decisive",0.75,,2
m04,2026-06-12,B,Canada,Bosnia and Herzegovina,1,1,draw,0.63,0.25,0.12,team_a_win,70,"Canada are clear favorites as hosts in their historic first World Cup match on home soil at BMO Field, with superior FIFA ranking (~30 vs ~64-67), squad depth, and motivation despite Alphonso Davies' hamstring absence; Jonathan David and the attack should create enough chances. Bosnia and Herzegovina are organized and resilient with Edin Džeko up top but have a history of draws in qualifiers and lack the quality to consistently beat a motivated home side. Expect a narrow, low-scoring Canada win in this Group B opener.",https://www.espn.com/soccer/story/_/id/48972712/fifa-world-cup-2026-canada-vs-bosnia-herzegovina-kickoff-how-watch-stats-team-news | https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B | https://www.juvefc.com/canada-v-bosnia-and-herzegovina-predictions/ | https://www.fifa.com/en/match-centre/match/17/285023/289273/400021449 | https://www.rotowire.com/soccer/article/canada-vs-bosnia-and-herzegovina-preview-prediction-lineups-odds-2026-world-cup-group-b-117672,,,,,,,,partially_correct,True,unlucky,Bosnia's defensive organization and proven ability to secure draws against higher-ranked sides in important matches,Canada's home-soil motivation and squad depth advantage in their historic World Cup opener,"If Alphonso Davies had been fit and available, Canada's added attacking quality and threat would likely have produced a narrow win rather than the 1-1 draw.","yes, I would have staked less than 70 on team_a_win and allocated some budget to draw to better balance the resilience and draw-heavy tendencies of Bosnia that I already noted in my reasoning",0.7,,3
m05,2026-06-13,B,Qatar,Switzerland,1,1,draw,0.09,0.16,0.75,team_b_win,75,"Switzerland enter as heavy favorites with a FIFA ranking of 19th versus Qatar's 56th, a more experienced and organized squad featuring Granit Xhaka, and stronger recent form. Qatar have struggled offensively in recent friendlies (limited goals scored) and face a disciplined Swiss side on neutral ground in San Francisco. Consensus previews and betting markets strongly back a comfortable Switzerland win.",https://www.fifa.com/en/match-centre/match/17/285023/289273/400021447 | https://www.racingpost.com/sport/football-tips/world-cup-2026/qatar-vs-switzerland-betting-tips-predictions-team-news-odds-bet-builder-a3Es28q4twWR/ | https://www.dimers.com/bet-hub/swc/schedule/2026_1_qat_sui | https://inside.fifa.com/fifa-world-ranking/SUI | https://inside.fifa.com/fifa-world-ranking/QAT?gender=men,,,,,,,,incorrect,False,unlucky,Qatar's defensive organization and resilience in grinding out a result as underdogs in a high-stakes World Cup opener,Switzerland's expected dominance and margin of victory based on ranking gap and squad quality,"If Switzerland had been more clinical in converting chances or attacked with greater urgency rather than showing early-tournament caution, they would likely have won instead of drawing.","Yes, I would have lowered the stake on team_b_win and given more probability weight to draw to account for cagey opening-group dynamics and variance in one-off matches.",0.7,,4
m06,2026-06-13,C,Brazil,Morocco,1,1,draw,0.57,0.26,0.17,team_a_win,50,"Brazil enter as favorites in this Group C opener despite key absences (Neymar, Rodrygo, Militão, Wesley) thanks to superior squad depth and attacking talent under Ancelotti, while Morocco (FIFA-ranked just below them) remain dangerous on counters but are also missing key defender Aguerd. Models and previews consistently point to a Brazil win (55-60% range) in a potentially open game with goals likely, though the closeness in rankings and Brazil's mixed recent form warrant caution. A moderate stake on Brazil reflects solid but not overwhelming edge at current odds.",https://www.squawka.com/us/news/world-cup/match-preview-brazil-vs-morocco-06-13-26-world-cup-2026/ | https://www.sportsmole.co.uk/football/brazil/world-cup-2026/preview/brazil-vs-morocco-prediction-team-news-lineups_598948.html | https://www.espn.com/soccer/story/_/id/49026946/fifa-world-cup-2026-brazil-vs-morocco-kickoff-how-watch-stats-team-news | https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C | https://inside.fifa.com/fifa-world-ranking/men,,,,,,,,partially_correct,True,unlucky,Morocco's defensive organization and counter threat proving sufficient to frustrate Brazil into a low-conversion draw despite my acknowledgment of both teams' injuries,Brazil's attacking depth and Ancelotti-driven dominance leading to an expected narrow-to-comfortable win rather than a cagey stalemate,"If Brazil had been more clinical in converting one of their created chances (or if Neymar's absence had less impact on final-third quality), they would likely have edged a 2-1 win instead of drawing.","yes, I would have bet a smaller stake on Brazil win or considered draw/no-bet given how close the FIFA rankings were and how the specific injuries materialized into a competitive rather than one-sided game",0.72,,5
m07,2026-06-13,C,Haiti,Scotland,0,1,team_b_win,0.15,0.25,0.6,team_b_win,60,"Scotland enter as clear favorites due to their superior FIFA ranking (around 42nd vs Haiti's 83rd), greater depth of Premier League-caliber players including McTominay and Robertson, and strong recent form with convincing 4-0 and 4-1 warmup wins. Haiti, in a rare World Cup appearance, will rely on passion, physicality, and counter threats from Isidor and Nazon but lack the squad quality and experience to consistently trouble Scotland's organized defense. A controlled Scottish victory is the most probable outcome in this Group C opener at Gillette Stadium.",https://www.fifa.com/en/match-centre/match/17/285023/289273/400021453 | https://www.espn.com/soccer/story/_/id/49026945/haiti-scotland-kickoff-how-watch-stats-team-news-fifa-world-cup-2026 | https://www.sportsmole.co.uk/football/haiti/world-cup-2026/preview/haiti-vs-scotland-prediction-team-news-lineups_598953.html | https://www.oddschecker.com/football/world-cup/haiti-v-scotland/winner | https://www.rotowire.com/soccer/article/haiti-vs-scotland-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-c-117818,,,,,,,,correct,True,neither,none,none,"If Haiti had shown more clinical finishing on their limited counter-attacks or set-pieces, they might have equalized and forced a draw, but Scotland's control and organization made a clean-sheet win the likeliest outcome.","no, the 0-1 result aligned closely with my assessment of Scotland's quality edge and form advantage, confirming the 60% probability assigned to a team_b_win",0.8,,6
m08,2026-06-13,D,Australia,Türkiye,2,0,team_a_win,0.25,0.31,0.44,team_b_win,50,"Turkey enter as narrow favorites with superior recent form (unbeaten in 8 matches), higher FIFA ranking (~22 vs Australia's ~27), and greater attacking quality via players like Arda Guler and Hakan Calhanoglu, despite Kenan Yildiz's likely absence. Australia offer defensive organization and World Cup experience but have inconsistent recent results and limited goal threat. A tight, low-scoring Turkey win is the most probable outcome in this Group D opener at BC Place.",https://www.fifa.com/en/match-centre/match/17/285023/289273/400021463 | https://www.sportsmole.co.uk/football/australia/world-cup-2026/preview/australia-vs-turkey-prediction-team-news-lineups_599005.html | https://www.espn.com/soccer/story/_/id/49019692/fifa-world-cup-2026-australia-vs-turkiye-kickoff-how-watch-stats-team-news | https://www.racingpost.com/sport/football-tips/world-cup-2026/australia-vs-turkey-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-aDqeC7S5q8Ib/ | https://www.forebet.com/en/football/matches/australia-t%C3%BCrkiye-2463136,,,,,,,,incorrect,False,unlucky,Australia's counter-attacking efficiency and set-piece threat materializing despite recent inconsistent form,Turkey's recent unbeaten streak and squad quality directly translating to on-pitch dominance in a high-stakes opener,"If Turkey had converted early chances or avoided the defensive lapses that led to the two goals, the result could easily have been a draw or narrow Turkey win given their pre-match edges.","no, a single result sits comfortably inside the 25% probability tail I assigned to an Australia win and does not invalidate the pre-match relative-strength assessment",0.8,,7
m09,2026-06-14,E,Germany,Curaçao,7,1,team_a_win,0.93,0.05,0.02,team_a_win,85,"Germany are overwhelming favorites against a far weaker Curaçao side making their World Cup debut, with squad quality, experience, and form creating a massive mismatch in this Group E opener. Betting markets price Germany at -3333 or better (implying ~97% win probability) and previews consistently predict a heavy victory such as 3-0 or 4-0. The probability of anything other than a German win is negligible.",https://www.fifa.com/en/match-centre/match/17/285023/289273/400021464 | https://www.espn.com/soccer/story/_/id/49035928/germany-vs-curacao-fifa-world-cup-2026-tv-channel-how-watch-kick-live-stream-referee-predicted-line-ups | https://www.sportsgambler.com/betting-tips/football/germany-vs-curacao-prediction-lineups-odds-2026-06-14/ | https://www.racingpost.com/sport/football-tips/world-cup-2026/germany-vs-curacao-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-aCceV7d7CMtv/ | https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E,,,,,,,,correct,True,neither,none,none,"Even with minor improvements in Curaçao's organization or a few key saves, the enormous squad quality and experience gap made a German win virtually certain, though the exact 7-1 margin reflected peak attacking execution.","no, the 93% probability on team_a_win and $85 stake were well-justified by the pre-match mismatch and delivered as expected",0.82,,8
m10,2026-06-14,F,Netherlands,Japan,2,2,draw,0.51,0.26,0.23,team_a_win,45,"Netherlands hold a clear quality edge (FIFA 8th vs Japan 18th) with superior squad depth and experience despite minor injuries (Timber out, Verbruggen doubtful but likely available); Japan are in good recent form and dangerous on the counter but significantly weakened by key absences including captain Endo, Mitoma and Minamino. Expect the Dutch to dominate possession at AT&T Stadium and grind out a narrow Group F opener win. At around even money this offers slight positive EV.",https://www.dimers.com/bet-hub/swc/schedule/2026_1_ned_jpn | https://www.squawka.com/us/news/world-cup/match-preview-netherlands-vs-japan-06-14-26-world-cup-2026/ | https://totalfootballanalysis.com/competitions/fifa-world-cup-2026/netherlands-v-japan-predictions | https://inside.fifa.com/fifa-world-ranking/men | https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F,,,,,,,,incorrect,True,unlucky,Japan's counter-attacking efficiency and defensive organization despite key injuries,"Netherlands' squad quality, ranking edge, and experience directly producing a win in the opener","If Netherlands had been more clinical in front of goal or Japan slightly less sharp on the break, the narrow Dutch victory I expected could easily have happened instead of the 2-2 draw.","yes, I would have bet a smaller stake on team_a_win (or no bet) because my own probabilities already showed a close contest with a substantial draw chance",0.68,,9
