match_id,date,stage,team_a,team_b,final_score_a,final_score_b,outcome,decided_by,pen_a,pen_b,advanced,pre_p_team_a_win,pre_p_draw,pre_p_team_b_win,pre_bet_pick,pre_bet_stake_usd,pre_reasoning,pre_key_sources,refl_outcome_vs_prediction,refl_was_well_calibrated,refl_luck,refl_key_factor_missed,refl_key_factor_overweighted,refl_counterfactual,refl_would_bet_differently,refl_confidence,_parse_issue,file_order
m73,2026-06-28,round_of_32,South Africa,Canada,0,1,team_b_win,regulation,,,team_b,0.22,0.26,0.52,team_b_win,100,"Canada possesses superior attacking firepower through Jonathan David and Alphonso Davies, providing the elite wide overloads needed to break down South Africa's disciplined defensive block. Although South Africa's resilient midfield will undoubtedly frustrate the Canadians early on, Canada's overwhelming pace and top-flight European experience offer a decisive tactical edge. Committing the full budget to a Canadian victory in regular time represents the most calculated value based on current tournament form.",https://www.livemint.com/sports/football-news/south-africa-vs-canada-prediction-first-to-qualify-for-quarterfinals-will-be-round-of-32-fifa-world-cup-2026-11782610905074.html | https://www.nbcsports.com/soccer/news/2026-world-cup-round-of-32-confirmed-schedule-predictions-for-knockout-round,correct,True,neither,"The absolute rigidity of South Africa's low block, which made the match closer than my high confidence and $100 stake implied.","Canada's overwhelming attacking firepower, as they were ultimately restricted to a single goal.","If South Africa had maintained their defensive discipline for one critical phase where they conceded, the match could have easily ended in a 0-0 draw.","No, because the fundamental analysis of Canada's superior quality eventually finding a breakthrough proved accurate.",0.9,,0
m74,2026-06-29,round_of_32,Germany,Paraguay,1,1,draw,penalties,3,4,team_b,0.78,0.15,0.07,team_a_win,100,"Germany showcased overwhelming offensive capacity in Group E with 10 goals, driven by dynamic transitions, even though a minor lapse against Ecuador exposed temporary defensive vulnerability. In contrast, Paraguay barely advanced from Group D with a negative goal differential, managing only a sluggish 1-0 win and a scoreless draw against moderate competition. The drastic mismatch in tactical intensity and final-third execution makes a full-stake position on Germany a mathematically sound strategy.",https://www.goal.com/en-us/news/germany-paraguay-world-cup-preview/blt69845ea4b54b1ac0 | https://www.beinsports.com/en-us/soccer/fifa-world-cup-2026/articles/how-and-where-to-watch-germany-vs-paraguay-in-the-round-of-32-of-the-2026-fifa-world-cup-2026-06-29,incorrect,False,unlucky,"Paraguay's defensive resilience and deliberate tactical shift to force a low-tempo, grinding match aiming precisely for a penalty shootout.","Germany's group-stage goal-scoring metrics, which artificially inflated expectations of their ability to easily break down a deep defensive block.","If Germany had converted early offensive pressure into a goal, Paraguay would have abandoned their low block, likely resulting in a comfortable German victory in regulation.","yes, I would allocate more probability to a draw and decrease my stake, acknowledging the inherent variance of knockout football against a defensively stubborn opponent.",0.85,,1
m75,2026-06-29,round_of_32,Netherlands,Morocco,1,1,draw,penalties,2,3,team_b,0.58,0.24,0.18,team_a_win,80,"The Netherlands have demonstrated lethal efficiency under Ronald Koeman, topping Group F with 10 goals and extending a 15-match World Cup unbeaten streak. While Morocco's tactical resilience secured an impressive draw against Brazil and a 4-2 win over Haiti, the Dutch squad's superior offensive depth and defensive stability present a decisive structural mismatch in regulation time.",https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/netherlands-morocco-live-stream-team-news-tickets | https://www.theguardian.com/football/2026/jun/28/morocco-netherlands-world-cup-2026-preview | https://www.beinsports.com/en-us/soccer/fifa-world-cup-2026/articles/how-and-where-to-watch-netherlands-vs-morocco-in-the-round-of-32-of-the-2026-fifa-world-cup-2026-06-29,incorrect,False,neither,I underweighted Morocco's proven tactical blueprint of absorbing pressure and dragging heavily favored offensive teams into penalty shootouts during knockout stages.,I overweighted the Netherlands' offensive efficiency and assumed it would cleanly translate into a regulation victory against a world-class defensive block.,"If the Netherlands had managed to score an early goal, it would have forced Morocco to abandon their low block, likely resulting in a regulation win for the Dutch.","yes, I would have placed a smaller stake on the draw or avoided the 3-way moneyline entirely, recognizing the high probability of a grueling stalemate.",0.9,,2
m76,2026-06-29,round_of_32,Brazil,Japan,2,1,team_a_win,regulation,,,team_a,0.5,0.3,0.2,draw,50,"While public consensus heavily favors Brazil, Japan proved their capability by defeating the Seleção 3-2 in an October 2025 friendly and emerging unbeaten from Group F. Under Carlo Ancelotti, Brazil is formidable but may face significant resistance breaking down Japan's disciplined defensive structure in a high-stakes knockout environment. A strategic bet on a regulation draw offers strong analytical value given Japan's tactical resilience.",https://www.beinsports.com/en-us/soccer/fifa-world-cup-2026/articles/how-and-where-to-watch-brazil-vs-japan-in-the-round-of-32-of-the-2026-fifa-world-cup-2026-06-29 | https://www.foxsports.com/stories/soccer/how-watch-2026-fifa-world-cup-full-schedule-dates-every-match,incorrect,True,neither,Brazil's elite attacking depth and sheer individual talent capable of eventually overcoming a disciplined low block.,The predictive value of Japan's recent friendly victory over Brazil when transitioning to a high-stakes World Cup knockout environment.,"If Japan had capitalized on a crucial counter-attack to score a second goal, the match could easily have ended in a regulation draw.","yes, I would have placed my stake on the Brazil win, trusting my own highest probability model rather than seeking betting value on a draw.",0.9,,3
m77,2026-06-30,round_of_32,Mexico,Ecuador,2,0,team_a_win,regulation,,,team_a,0.45,0.32,0.23,team_a_win,100,"Mexico holds a massive home-field advantage playing at the Mexico City Stadium and enters the Round of 32 after a flawless group stage, winning all three matches without conceding a goal. Although Ecuador boasts high-end talent and carries momentum from a crucial victory over Germany, Mexico's cohesive defense and high-altitude conditioning give them a distinct edge. Backing Mexico to win in regulation offers solid tactical value given their dominant recent form and favorable environmental factors.",https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/mexico-ecuador-live-stream-team-news-tickets | https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds | https://www.goal.com/en/news/mexico-ecuador-world-cup-preview/blt3e5e16bf513deef8,correct,True,neither,none,none,"If Ecuador had converted an early opportunity against the run of play, Mexico's defensive game plan would have been forced to open up, potentially altering the clean-sheet outcome.","no, because Mexico's execution perfectly validated the heavy emphasis placed on their altitude advantage and defensive stability at home.",0.95,,4
m78,2026-06-30,round_of_32,France,Sweden,3,0,team_a_win,regulation,,,team_a,0.72,0.19,0.09,team_a_win,100,"France enters the Round of 32 in formidable form, having swept their group with three commanding wins and ten goals scored. Sweden, by contrast, struggled through Group F with only four points and advanced as a third-placed side, carrying a vulnerable defense that conceded seven goals. The glaring gap in sheer attacking firepower and tournament momentum makes a full-time victory for France the most analytically sound position.",https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/france-sweden-first-meeting | https://m.economictimes.com/news/new-updates/fifa-world-cup-2026-today-match-schedule-30-june-fifa-world-cup-matches-today-india-time-ivory-coast-norway-france-sweden-mexico/articleshow/132078255.cms,correct,True,neither,none,none,"If Sweden had managed to score an early goal from a set piece, they might have frustrated France defensively for longer, though the ultimate outcome likely wouldn't have changed given France's depth.","no, the maximum $100 bet on France was entirely justified by their statistical superiority and validated by the decisive 3-0 result.",0.95,,5
m79,2026-06-30,round_of_32,Côte d'Ivoire,Norway,1,2,team_b_win,regulation,,,team_b,0.3,0.28,0.42,team_b_win,50,"Norway brings immense attacking firepower with Erling Haaland leading the line, though their defense showed vulnerabilities in a recent 4-1 loss to France. Ivory Coast boasts a structured and resilient defense that could frustrate the Norwegians, making this a closely contested matchup. Ultimately, Norway's overall offensive quality and star power give them a slight edge to secure a victory in regular time.",https://www.goal.com/en-us/news/ivory-coast-norway-world-cup-preview/bltc20cf346c3521000 | https://www.rotowire.com/soccer/article/ivory-coast-vs-norway-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-round-of-32-120216,correct,True,neither,none,none,"If Ivory Coast's defense had managed to fully neutralize Norway's attacking stars, the match likely would have ended in a draw or a narrow victory for the Ivorians.","no, because my assessment of Norway's attacking superiority ultimately determining a closely contested match proved accurate.",0.9,,6
m80,2026-07-01,round_of_32,USA,Bosnia and Herzegovina,2,0,team_a_win,regulation,,,team_a,0.71,0.2,0.09,team_a_win,100,"The USMNT holds significant statistical and situational advantages, generating 4.62 expected goals (xG) across the group stage while benefiting from home-field advantage in Santa Clara. Conversely, Bosnia and Herzegovina massively overperformed their underlying metrics by scoring five goals from a meager 1.87 xG, making regression highly likely against a superior opponent. Given Bosnia's defensive struggles and the return of a healthy Christian Pulisic, the United States is strongly positioned to secure a victory in regulation.",https://www.actionnetwork.com/soccer/usa-vs-bosnia-and-herzegovina-predictions-picks-odds-world-cup-wednesday-july-1 | https://www.covers.com/world-cup/usa-vs-bosnia-prediction-picks-odds-wednesday-7-1-2026 | https://www.ussoccer.com/stories/2026/06/usmnt/match-preview-vs-bosnia-herzegovina-san-francisco-bay-california-fifa-world-cup,correct,True,neither,none,none,"If Bosnia and Herzegovina had continued their group-stage trend of converting low-xG chances early in the game, the USA might have been forced into a riskier, more vulnerable tactical setup.","no, because the pre-match expected goals (xG) data and home-field advantage overwhelmingly justified a high-confidence bet on a USMNT victory in regulation.",0.9,,7
m81,2026-07-01,round_of_32,Belgium,Senegal,3,2,team_a_win,regulation,,,team_a,0.4,0.28,0.32,team_b_win,50,"Belgium's group stage performances were surprisingly sluggish, relying heavily on a single blowout against New Zealand to mask structural vulnerabilities against compact teams. Senegal's exceptional pace on the counter-attack, led by Ismaïla Sarr, matches up perfectly to exploit the Red Devils' aging defensive lines. Backing the Lions of Teranga to win in regulation offers excellent tactical value for this knockout fixture.",https://www.si.com/soccer/belgium-vs-senegal-world-cup-preview-predictions-lineups-7-1-26 | https://www.soundersfc.com/news/belvsen-101-preview-all-you-need-to-know-when-belgium-faces-senegal-in-fifa-world-cup-2026tm-in-seattle,partially_correct,True,unlucky,Belgium's elite attacking depth and clinical finishing capacity to outscore opponents despite their defensive vulnerabilities.,The ability of Senegal's counter-attack to fully suppress Belgium's possession-based offensive pressure.,"If Senegal had avoided a critical defensive lapse in transition, the match would have likely ended in a draw and proceeded to extra time.","No, because the tight 3-2 scoreline validates that Senegal possessed significant win equity, confirming the structural value of the underdog bet despite the losing outcome.",0.9,,8
m82,2026-07-01,round_of_32,England,Congo DR,2,1,team_a_win,regulation,,,team_a,0.76,0.16,0.08,team_a_win,100,"England boasts overwhelming attacking quality under Thomas Tuchel, led by Harry Kane and Jude Bellingham, and enters the match as heavy favorites. While DR Congo impressively reached the knockouts with a resilient comeback against Uzbekistan, their low-block defensive structure will be severely tested. This defensive approach will likely invite too much sustained pressure from England's superior offensive depth, leading to a comfortable win for the Three Lions.",https://www.fox5atlanta.com/news/world-cup-atlanta-underdog-dr-congo-looks-shock-england | https://www.si.com/soccer/england-vs-dr-congo-world-cup-preview-predictions-lineups-7-1-26 | https://www.covers.com/world-cup/england-vs-congo-prediction-picks-odds-wednesday-7-1-2026,correct,True,neither,DR Congo's offensive capability and resilience to score and keep the match highly competitive rather than succumbing to a comfortable defeat.,"The ease with which England's attacking depth would break down the opposition, leading me to expect a wider margin of victory.","If DR Congo had managed to convert one more counter-attack or if England had been slightly less clinical, the match could easily have been pushed to extra time.","no, betting the maximum stake on a heavy favorite with vastly superior squad depth was still the correct expected-value decision, regardless of the narrow scoreline.",0.9,,9
