model,match_id,phase,stage,team_a,team_b,final_score_a,final_score_b,outcome,decided_by,advanced,p_a,p_draw,p_b,bet_pick,bet_stake,reasoning,refl_outcome,refl_calibrated,refl_luck,refl_missed,refl_overweighted,refl_bet_diff,refl_conf,argmax,pick_outcome,correct,p_actual,brier,logloss,conf
claude,m01,group,group,Mexico,South Africa,2,0,team_a_win,regulation,team_a,0.66,0.21,0.13,team_a_win,25,"Mexico (Team A) are strong favorites at home in Estadio Azteca, aided by ~2,250m altitude that disadvantages sea-level South Africa, excellent recent defensive form (conceding ~2 goals in 8 internationals, six clean sheets), and a deeper, more experienced squad. Market odds (~-209 to -240, implying ~68-70%) and models (Dimers 68.2%, prediction markets ~69.5%) align with a clear Mexico edge, while South Africa's path realistically depends on a low-scoring draw or upset. The ~-209/-240 price offers thin value, so a modest stake is warranted rather than a large one.",correct,True,neither,none,"South Africa's defensive setup as a drag on goal expectancy — they conceded twice, so the cautious 5-3-2 was less effective than I implied when leaning toward a low-scoring margin.","no, the T-30min no-bet was correct in process terms — Mexico won as expected but at ~-240 the price offered no edge, and being right about the outcome doesn't validate a -EV wager.",0.82,0,team_a_win,True,0.66,0.17659999999999998,0.4155154439616658,0.66
claude,m02,group,group,Korea Republic,Czechia,2,1,team_a_win,regulation,team_a,0.43,0.27,0.3,team_a_win,30,"The Opta supercomputer rates South Korea favourites at 42.9% vs Czechia's 31.1% with a 26% draw, and Korea's superior attacking talent (Son Heung-min) plus strong unbeaten qualifying form give them an edge in this open group opener. FanDuel's +165 price on Korea implies roughly 38% which is below my ~43% estimate, offering modest positive expected value. I size the stake modestly because Czechia's elite set-piece threat against Korea's three-back system makes a draw or upset genuinely live.",correct,True,neither,"none — I correctly flagged Czechia's set-piece threat as the realistic path to them scoring, and they did get one, consistent with a 2-1 outcome","the BTTS-No/under signals, which I cited as a reason to trim the stake but which didn't materialize since this was a 2-1, both-teams-scored, over-2.5 result","no — Korea at +155 with my ~42% estimate was a sound positive-EV value pick that landed, and the modest stake was appropriate given the genuine closeness of the match",0.8,0,team_a_win,True,0.43,0.4878000000000001,0.843970070294529,0.43
claude,m03,group,group,USA,Paraguay,4,1,team_a_win,regulation,team_a,0.46,0.29,0.25,no_bet,0,"USA are modest home favorites (~-105/+105 ML, Paraguay +310, draw ~+240) with home-crowd advantage at SoFi and no reported injuries, but they've lost 3 of their last 4 while Alfaro's Paraguay arrive unbeaten in 8 (wins over Brazil, Argentina, Uruguay) with an elite defensive structure, though key man Julio Enciso is an injury doubt. My estimates (USA ~46%, draw ~29%, Paraguay ~25%) land almost exactly on the vig-adjusted market consensus, so there is no exploitable edge in any outcome. With no edge, the expected-value-maximizing decision is to pass rather than pay the bookmaker's margin.",partially_correct,False,neither,I underweighted USA's home-crowd ceiling and the chance that Paraguay's defense-first approach would break down decisively once they conceded; a 4-1 scoreline implies USA's attacking quality was higher than the market or I credited.,"I gave too much weight to Paraguay's unbeaten run and defensive solidity, and to USA's poor recent form (3 losses in 4), treating the matchup as nearly a coin flip when the talent and venue gap was larger than priced.","no, because the outcome was correct directionally but the market was efficiently priced and a 4-1 result was a low-probability tail even conditional on a USA win, so a 'no_bet' on a fairly-priced favorite was still the disciplined call ex ante.",0.6,0,team_a_win,True,0.46,0.43820000000000003,0.7765287894989963,0.46
claude,m04,group,group,Canada,Bosnia and Herzegovina,1,1,draw,regulation,,0.55,0.27,0.18,team_a_win,35,"Canada are strong home favorites (-120 market odds, Opta supercomputer 58.3% win probability), unbeaten in their last eight matches with six clean sheets and only one loss in 28 games at BMO Field. Bosnia upset Italy to qualify but sit ~34 places below Canada in FIFA rankings and have drawn five straight in regulation. Market price (~1.83 decimal) offers modest positive expected value against my 0.55 estimate, warranting a measured stake while accounting for Canada's history of zero World Cup wins and possible absence of Alphonso Davies.",incorrect,True,unlucky,"Bosnia's run of consecutive regulation draws signaled a genuinely stubborn, hard-to-break-down side, which I noted but did not weight enough into the draw probability given a likely low-scoring game.","Home-crowd advantage and Canada's clean-sheet streak, which I leaned on to push the win probability to 0.55 despite Canada's complete lack of any prior World Cup win or draw.","no, the bet had positive expected value at the offered odds and a 27% draw estimate priced the realized outcome reasonably; one losing wager on a well-calibrated edge doesn't invalidate the process.",0.7,0,team_a_win,False,0.27,0.8677999999999999,1.3093333199837622,0.55
claude,m05,group,group,Qatar,Switzerland,1,1,draw,regulation,,0.08,0.15,0.77,team_b_win,25,"Switzerland enter in strong unbeaten qualifying form with clearly superior squad depth (Xhaka, Akanji, Embolo, Ndoye), while Qatar have failed to score in roughly four of their last five matches and looked incohesive in pre-tournament friendlies after canceled fixtures. Market consensus (Opta 76%, Kalshi ~81%, bookmaker implied ~78%) aligns tightly with a heavy Swiss favorite; the only restraint is that team_b_win at ~-334 offers thin value, so a modest stake is warranted rather than a large one.",incorrect,True,unlucky,"I noted that tournament openers can be cagey and that Qatar would sit deep to frustrate, but I did not weight Qatar's defensive organization and Switzerland's tendency toward slim, low-scoring margins heavily enough toward an outright draw.","Qatar's prolonged goal drought and incohesive friendlies — I treated their inability to score as more permanent than it was, when a single deep-block plus one moment was enough to claim a point.","no, a 15% draw probability against ~-334 favorite odds still justified a small stake on Switzerland; the result was within the expected variance and one outcome does not invalidate the process.",0.7,2,team_b_win,False,0.15,1.3217999999999999,1.8971199848858813,0.77
claude,m06,group,group,Brazil,Morocco,1,1,draw,regulation,,0.58,0.24,0.18,team_a_win,25,"Brazil are clear favorites at roughly -167/-175 (market-implied ~62%), with a deeper, more talented squad under Ancelotti. Morocco are genuinely dangerous (2022 semifinalists, reigning AFCON champions, beat Brazil 2-1 in 2023) with injury concerns to Mazraoui and Rahimi, so I shade slightly below the market and avoid overstaking. The modest stake reflects that Brazil's price offers little value and Morocco's upset potential is real in a tournament opener.",incorrect,True,unlucky,Morocco's defensive organization and ability to frustrate elite attacking sides—the same traits that carried them to the 2022 semifinals were likely to neutralize Brazil's front line in a low-event opener.,"Brazil's individual talent advantage, which matters less in a single tournament opener where rust, pressure, and a disciplined opponent compress the quality gap.","no, because a draw was my second-most-likely outcome at 24% and Brazil winning was correctly the modal scenario; one result doesn't invalidate a probabilistically sound bet, and I appropriately kept the stake small at $25.",0.7,0,team_a_win,False,0.24,0.9463999999999999,1.4271163556401458,0.58
claude,m07,group,group,Haiti,Scotland,0,1,team_b_win,regulation,team_b,0.21,0.26,0.53,team_b_win,30,"Opta's supercomputer gives Scotland ~59% and the market lists them around -188/-225, reflecting a clear gap in squad quality (Premier League/UEFA-tested players like McTominay, Adams, Doak). Haiti are the second-lowest ranked nation (83rd) and conceded heavily in qualifying (13 goals, 11.7 xG against), though they showed attacking threat with a 4-0 win over New Zealand. The implied edge favors Scotland, but Haiti's organized block and Scotland's poor record vs the Americas (winless in last 9) cap value, so I stake moderately rather than heavily.",correct,True,neither,"none — I correctly anticipated a tight, low-scoring grind, which the 1-0 scoreline reflects almost exactly (close to the 0-1 several previews projected)","Haiti's attacking upside from the 4-0 New Zealand result; they were kept off the scoresheet, suggesting their qualifying defensive frailties mattered more than their warm-up scoring","no — Scotland win was the value pick, the moderate stake was appropriate given the narrow scoreline showed real margin-of-error, and the result validated both the probabilities and the cautious sizing",0.82,2,team_b_win,True,0.53,0.3326,0.6348782724359695,0.53
claude,m08,group,group,Australia,Türkiye,2,0,team_a_win,regulation,team_a,0.3,0.27,0.43,team_b_win,25,"The market prices Turkey as clear favorites (~-135), backed by superior individual quality (Güler, Yildiz, Çalhanoğlu), recent competitive sharpness against elite opposition (2-2 vs Spain), and a marginally better FIFA ranking, whereas Australia has shown vulnerability against technically superior, pressing teams. The implied probability on Turkey (~57%) feels slightly rich for a single World Cup match, so my estimate sits at 43%, but they remain the rational lean. A modest stake reflects the value edge balanced against the inherent unpredictability of one-off group-stage fixtures.",incorrect,True,unlucky,"Australia's defensive discipline and counterattacking threat were more potent against this specific opponent than I credited; a 2-0 margin suggests Turkey's creative core was effectively neutralized, which I underweighted.","I leaned too heavily on the betting market's framing of Turkey's individual quality (Güler, Yildiz, Çalhanoğlu) translating into match control, rather than weighing how often technical favorites underperform in single tournament fixtures.","no, because the pre-match information genuinely favored Turkey and a single 2-0 loss doesn't invalidate a process that correctly priced them as the rational lean—my 43% on Turkey already reflected real uncertainty.",0.6,2,team_b_win,False,0.3,0.7477999999999999,1.2039728043259361,0.43
claude,m09,group,group,Germany,Curaçao,7,1,team_a_win,regulation,team_a,0.92,0.06,0.02,no_bet,0,"Germany (FIFA #10, on a nine-match winning streak) are overwhelming favorites at roughly 1/20 against World Cup debutant Curaçao, the smallest nation ever to qualify and losers of three of their last four. The implied win odds (~95%) offer essentially no value — a $100 stake on Germany returns only ~$3.70 profit — while a Curaçao upset at 100/1 has negligible expected value despite the long price, so the disciplined play is no bet.",correct,True,neither,"I slightly underweighted the margin of victory — a 7-1 scoreline confirms the over-goals markets the previews flagged were the real edge, not the win/draw/loss line I focused on.","I gave nonzero weight to a Curaçao goal as part of a possible 'tighter than expected' narrative from one preview, but the result showed Germany's dominance was total despite Curaçao managing a consolation goal.","no, the no-bet on the match line was still correct given the ~1/20 odds offered no value, though the over-4.5-goals market would have been the genuinely profitable play I correctly identified but didn't act on.",0.85,0,team_a_win,True,0.92,0.010399999999999993,0.08338160893905101,0.92
claude,m10,group,group,Netherlands,Japan,2,2,draw,regulation,,0.5,0.27,0.23,team_a_win,30,"Netherlands are clear favorites (Opta supercomputer 49.2%, Kalshi 49%, bookmakers ~+100/+112) anchored by a Van Dijk-led defense that conceded just 4 goals in qualifying, while Japan are missing key attackers Mitoma, Minamino and Endo. The best Netherlands moneyline price (+112 / 2.12 decimal) implies ~47% but my estimate is ~50%, giving a modest positive expected value, so a small-to-moderate stake on the Dutch win is justified rather than the full budget given Japan's genuine counter-attacking form (recent wins over Brazil and England).",incorrect,True,unlucky,"Despite noting Netherlands had not been airtight defensively, I underweighted Japan's ability to score multiple goals even with their attacking absences—their counter-attacking threat materialized into a draw, the exact 'live shared result' the goal markets were signaling.","The strength of the Van Dijk-anchored Dutch defense, which I treated as potentially the best at the tournament but which conceded twice.","no, the bet had positive expected value at the price given my ~50% estimate and a 27% draw probability is an inherent risk I correctly priced; one losing wager on a sound process does not invalidate the decision.",0.7,0,team_a_win,False,0.27,0.8357999999999999,1.3093333199837622,0.5
