match_id,date,stage,team_a,team_b,final_score_a,final_score_b,outcome,decided_by,pen_a,pen_b,advanced,pre_p_team_a_win,pre_p_draw,pre_p_team_b_win,pre_bet_pick,pre_bet_stake_usd,pre_reasoning,pre_key_sources,refl_outcome_vs_prediction,refl_was_well_calibrated,refl_luck,refl_key_factor_missed,refl_key_factor_overweighted,refl_counterfactual,refl_would_bet_differently,refl_confidence,_parse_issue,file_order
m73,2026-06-28,round_of_32,South Africa,Canada,0,1,team_b_win,regulation,,,team_b,0.18,0.29,0.53,draw,20,"Canada are deserved favorites (market ~-140, implying ~55% no-vig) with Jonathan David in form and a possible Alphonso Davies return, versus a defensively stubborn but goal-shy South Africa that scored just twice in the group stage. My win/draw/win estimate is close to the market, but both sides are low-scoring (Under 2.5 is heavily favored and combined totals were 2 or fewer goals in most of their matches), which lifts 90-minute draw value at +250 above its no-vig price for a marginal positive-EV play. Edge is thin and Davies' status is uncertain, so I'm staking small rather than backing the chalk at a negative price.",https://www.cbssports.com/soccer/news/canada-vs-south-africa-odds-prediction-time-2026-world-cup-round-of-32-picks/ | https://www.rotowire.com/soccer/article/south-africa-vs-canada-picks-tips-odds-best-bets-2026-world-cup-round-of-32-120060 | https://www.foxsports.com/stories/soccer/canada-south-africa-world-cup-round-of-32-knockout-round | https://www.goal.com/en/news/south-africa-canada-world-cup-preview/blt7b092fc81d7fdc79,partially_correct,True,neither,"In a low-total match the superior side still tends to nick the one decisive goal, so a tight game favors the favorite winning by one as much as it favors a draw.","The draw probability, inflated by 'low-scoring therefore more draws' reasoning, when the quality gap pointed to a 1-0/2-0 Canada win that the analysts had flagged.",If South Africa had converted one of their counter-attacking chances—their only realistic route to a result—the game could plausibly have ended level or as an upset.,"yes — my own note said the draw edge was within model noise, so no_bet was the more disciplined call regardless of outcome, since a ~1.5% estimated edge under high lineup uncertainty (Davies' status) wasn't robust enough to stake.",0.7,,0
m74,2026-06-29,round_of_32,Germany,Paraguay,1,1,draw,penalties,3,4,team_b,0.68,0.22,0.1,draw,15,"Germany are rightly heavy favorites (~-290 / ~70% implied), with elite attackers (Wirtz, Musiala, Sané, Havertz), but the moneyline carries no value at that price and Paraguay at +850 is a true longshot. Paraguay are built as a deep, compact low block that has produced back-to-back clean sheets (Türkiye, Australia), and Germany have looked defensively sloppy and lost their last group game to Ecuador, so the stylistic matchup and 2002 R16 precedent (a 1-0 grind) make a 90-minute draw modestly underpriced at +390. I take a small value stake on the draw while keeping Germany as clear favorites to advance overall.",https://www.rotowire.com/soccer/article/germany-vs-paraguay-picks-tips-odds-best-bets-2026-world-cup-round-of-32-120210 | https://www.espn.com/soccer/match/_/gameId/760489/paraguay-germany | https://www.goal.com/en-us/news/germany-paraguay-world-cup-preview/blt69845ea4b54b1ac0 | https://www.sportsmole.co.uk/football/germany/world-cup-2026/preview/germany-vs-paraguay-prediction-team-news-lineups_600229.html,partially_correct,True,lucky,"I underweighted how completely Paraguay's deep block could neutralize Germany's superior attack and drag the tie to extra time and a shootout, and I gave no explicit weight to the knockout penalty path where the 'draw' outcome means Paraguay actually advance.","The Germany talent/firepower gap — I had them at 68% to win in regulation, overrating the likelihood that an elite attack breaks down a purpose-built low block within 90 minutes against a side that had already kept two clean sheets.","If Germany had converted even one of the chances their expected territorial dominance should have produced, they likely win in 90 minutes and the draw/shootout never happens.","No — the draw at +390 was the correct value identification given the stylistic mismatch, and it cashed; the only tweak would be also considering a 'Paraguay to advance' line to capture the shootout upside.",0.7,,1
m75,2026-06-29,round_of_32,Netherlands,Morocco,1,1,draw,penalties,2,3,team_b,0.44,0.31,0.25,draw,20,"Models and de-vigged markets agree Netherlands are slight favorites (Opta 47.6/27.4/25.0; bet365 implied ~45/29/26; Kalshi 46/31/25), and my win-market numbers match closely enough that those bets carry no real edge. The draw at plus-money (~+230) is the only modest value angle: Morocco are unbeaten inside 90 minutes in 32 straight, the Netherlands have conceded in every group game with no clean sheet in seven, and multiple previews point to a cagey, low-scoring, level-after-90 knockout between two well-organized sides. Stake kept small because the edge is thin in a coin-flip-ish single match.",https://theanalyst.com/articles/netherlands-vs-morocco-prediction-world-cup-2026-match-preview | https://www.squawka.com/us/news/world-cup/match-preview-netherlands-vs-morocco-06-29-26-world-cup-2026-round-of-32/ | https://www.rotowire.com/soccer/article/netherlands-vs-morocco-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-round-of-32-120071 | https://www.tntsports.co.uk/betting/tips/netherlands-vs-morocco-prediction-tips-and-odds-world-cup-2026/ | https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/netherlands-morocco-live-stream-team-news-tickets,partially_correct,True,neither,"Morocco's knockout temperament and shootout strength — I had the Dutch favored to progress, but Morocco neutralized them in open play and went through on penalties, a scenario my own sources (RotoWire) flagged and I underweighted in the win probabilities.","The Netherlands' group-stage attacking output; 10 goals against weaker defenses didn't translate against Morocco's disciplined block, which held them to a single goal over 120 minutes.","If the Dutch had finished one of their open-play chances or converted in the shootout they advance, but the regulation result I actually bet on — a draw — resolves identically.","no — the draw was the correct value angle given two organized sides and a likely level-after-90 game, and it landed; the process holds up independent of the shootout, though I'd note Morocco-to-progress was the under-respected side bet.",0.82,,2
m76,2026-06-29,round_of_32,Brazil,Japan,2,1,team_a_win,regulation,,,team_a,0.55,0.27,0.18,draw,25,"Market lines (Brazil ~-145, Draw ~+270/+290, Japan ~+400/+420) de-vig to roughly Brazil 56% / Draw 25% / Japan 19%, and Brazil's class, form (back-to-back 3-0s) and attacking firepower (Vini Jr 4 goals, Cunha 3) make them deserved favorites. However, Brazil's big wins came against Haiti/Scotland (neither advanced), Raphinha is injured, and Japan are unbeaten in a tougher group with a containment style that produced two 90-min draws (vs Netherlands and Sweden) plus a 3-2 win over Brazil in the 2025 Kirin Cup, so the regulation draw is modestly underpriced at +290. I take a small value stake on the draw rather than the negative-EV favorite, sizing well below full Kelly given the edge is thin and within model error.",https://www.cbssports.com/soccer/news/brazil-japan-odds-prediction-time-2026-world-cup-round-32-picks/ | https://www.espn.com/soccer/match/_/gameId/760487/japan-brazil | https://sports.yahoo.com/articles/brazil-vs-japan-predictions-picks-194300747.html | https://www.goal.com/en/news/brazil-japan-world-cup-preview/bltfacb1acd696ead12 | https://www.racingpost.com/sport/football-tips/world-cup-2026/brazil-vs-japan-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-an0fT2s0iEmv/,partially_correct,True,neither,"I underweighted that an open, high-event game (the tournament's Over-2.5 trend, both attacks scoring) makes a 90-minute draw less likely; a 2-1 with Japan scoring but losing is exactly the competitive-favorite-wins scenario my 55% Brazil line implied.",Japan's draw-prone containment style and the 2025 Kirin Cup friendly win as evidence the gap had narrowed enough to make the regulation draw a value play.,"If Japan had converted one more late chance to equalize, it goes to a 90-minute draw and my bet wins, so the result hinged on Brazil's superior finishing in a genuinely close game.","yes — the draw edge was only ~5% at the best price and within model error, so the disciplined call was no_bet or a smaller stake rather than chasing a thin contrarian value angle.",0.6,,3
m77,2026-06-30,round_of_32,Mexico,Ecuador,2,0,team_a_win,regulation,,,team_a,0.44,0.3,0.26,team_b_win,10,"Mexico are deserved favorites as imperious hosts (9/9 points, three clean sheets) playing in Mexico City, and the no-vig market puts them around 43-45% with Ecuador near 24-25% (+290). However, Mexico's clean sheets came against modest attacks (South Africa, South Korea, Czechia), while Ecuador just came from behind to beat Germany 2-1 and are elite altitude specialists (home in Quito at ~2,850m), which neutralizes Mexico's biggest edge here. I nudge Ecuador slightly above market to ~26%, making +290 a thin positive-EV value play, so I stake a small $10 given the genuine but modest edge and high knockout variance.",https://www.foxsports.com/stories/soccer/world-cup-mexico-odds | https://www.espn.com/soccer/match/_/gameId/760491/ecuador-mexico | https://www.sportsmole.co.uk/football/mexico/world-cup-2026/preview/mexico-vs-ecuador-prediction-team-news-lineups_600278.html | https://www.rotowire.com/soccer/article/mexico-vs-ecuador-picks-tips-odds-best-bets-2026-world-cup-round-of-32-120373,partially_correct,True,neither,"Mexico's defensive control and squad cohesion were strong enough to produce a comfortable clean-sheet win, not the tense 1-0/extra-time grind I leaned toward; I underweighted how decisively the host could dominate.",The 'Ecuador beat Germany + altitude specialists' narrative — I inflated Ecuador's win probability above market (0.26) specifically to manufacture a value bet that wasn't really there.,"If Ecuador had taken an early chance to lead, the game might have opened up, but given their well-documented poor finishing a different result was unlikely.","yes — I'd go no_bet, since my true edge was within estimation noise and the efficient-market read was the correct one.",0.72,,4
m78,2026-06-30,round_of_32,France,Sweden,3,0,team_a_win,regulation,,,team_a,0.74,0.16,0.1,no_bet,0,"France were perfect in Group I (10 goals scored, 2 conceded; 4-1 over Norway) with a deep, in-form attack and Saliba returning, while Sweden sneaked in as a best third-place team with a dangerous Gyökeres-Isak strike pair but a leaky defense missing Isak Hien — a clear France edge. My ~74% France estimate essentially matches the vig-removed market (France ~-330/-350 ⇒ ~73%), so there is no positive-EV edge on any of the three outcomes. With no value after the bookmaker margin, the disciplined play is to pass rather than bet a near-fair or slightly negative line.",https://www.espn.com/soccer/match/_/gameId/760492/sweden-france | https://www.rotowire.com/soccer/article/france-vs-sweden-picks-tips-odds-best-bets-2026-world-cup-round-of-32-120367 | https://www.vavel.com/en/football/2026/06/29/1264761-france-vs-sweden-world-cup-preview.html | https://sports.yahoo.com/soccer/article/world-cup-2026-round-of-32-full-bracket-matchups-schedule-and-how-each-team-qualified-164942403.html,correct,True,neither,"I underweighted France's defensive solidity (Saliba back, Upamecano in form) — I expected Sweden to likely score at least once, but France kept a clean sheet and fully neutralized Gyökeres and Isak.","Sweden's strike-pairing threat; I treated Gyökeres-Isak as likely to make the game open, but they never got the platform to hurt France.","If Sweden had converted an early chance to open the game up, it would have been more competitive, but the quality gap means France still most likely wins.","no, one comfortable win doesn't retroactively create value at -330 — passing on a no-edge line was still the disciplined call regardless of the outcome.",0.8,,5
m79,2026-06-30,round_of_32,Côte d'Ivoire,Norway,1,2,team_b_win,regulation,,,team_b,0.27,0.27,0.46,team_a_win,15,"Analysts unanimously frame this as a near coin-flip between two sides separated by only a couple of FIFA ranking places, yet the market prices Norway clearly ahead (~1/1) largely on Haaland's four group-stage goals, leaving Côte d'Ivoire generously priced at ~11/4. The Elephants are well-organized, hard to break down, beat France in a pre-tournament friendly, and face a Norway defense that conceded seven goals in the group stage—so the underdog price offers slim value, though injury doubts (Singo, Diallo) and CIV's shaky finishing temper conviction. This is a low-conviction value lean rather than a strong edge, hence the small stake.",https://www.rotowire.com/soccer/article/ivory-coast-vs-norway-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-round-of-32-120216 | https://totalfootballanalysis.com/competitions/fifa-world-cup-2026/world-cup-r32-cote-d-ivoire-norway-predictions | https://www.goal.com/en/news/ivory-coast-norway-world-cup-preview/bltc20cf346c3521000 | https://www.racingpost.com/sport/football-tips/world-cup-2026/ivory-coast-vs-norway-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-aft7k7N0mGMp/,partially_correct,True,neither,Norway's top-end quality (Haaland/Odegaard) as the decisive edge—I let the 'coin flip' narrative pull Côte d'Ivoire above the vig-removed market number when the market's Norway lean was probably right.,"The pundit 'coin flip' framing plus CIV's friendly win over France, which I used to manufacture underdog value and justify betting against my own modal outcome.","It was a one-goal game, so had Ivory Coast converted more of their chances—their known finishing weakness—or held on for a draw into extra time, the outcome could easily have flipped.","yes—my own Kelly check showed the edge was essentially noise (~$0.45 full Kelly), so staking $15 on the underdog against my own most-likely outcome was undisciplined; no_bet was the correct call.",0.7,,6
m80,2026-07-01,round_of_32,USA,Bosnia and Herzegovina,2,0,team_a_win,regulation,,,team_a,0.68,0.2,0.12,team_b_win,10,"USA are clear home favorites (FIFA #15 vs #61, in-form after winning Group D, rested starters like Adams/Balogun/Pulisic returning, home Bay Area crowd), so ~68% in regulation. Market prices USA at -280 (negative EV after vig) and Bosnia at +800; my ~12% estimate slightly exceeds the ~10.5% de-vigged market given single-game knockout variance, USA's leaky defense (one clean sheet in 11) plus a four-match knockout losing streak, and Bosnia's real attacking threat (Dzeko, Demirovic, Alajbegovic) after upsetting Italy to qualify. Only a thin value edge exists, so the stake is small and high-variance.",https://www.cbssports.com/soccer/news/usmnt-bosnia-and-herzegovina-odds-prediction-time-2026-world-cup-round-of-32-picks/ | https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/usa-bosnia-and-herzegovina-live-stream-team-news-tickets | https://www.espn.com/soccer/story/_/id/49212832/united-states-vs-bosnia-herzegovina-fifa-world-cup-2026-tv-channel-how-watch-kick-live-stream-injury-predicted-line-ups | https://www.foxnews.com/sports/watch-usa-vs-bosnia-herzegovina-live-stream-2026-fifa-world-cup-round-32,correct,True,neither,"I underweighted how decisively Bosnia's chronically leaky defense would let USA's strong, rested attack control the game, making a comfortable USA win more likely than my 12% Bosnia figure implied.","USA's 'four straight knockout losses' jinx and their defensive frailty—narrative factors I used to nudge Bosnia above the market's ~10.5%, none of which materialized.","If Bosnia had scored first and forced USA to chase, the leaky-USA-defense scenario I bet on could have opened up, but with USA's first-choice XI at home nothing suggests the overall result would have flipped.","yes—I would pick no_bet or a far smaller stake, since the Bosnia edge was razor-thin, narrative-driven, and my $10 stake was aggressive relative to what Kelly (~$1) justified.",0.8,,7
m81,2026-07-01,round_of_32,Belgium,Senegal,3,2,team_a_win,regulation,,,team_a,0.43,0.31,0.26,draw,20,"De-vigged consensus market odds (BEL ~+115, Draw ~+220, SEN ~+260) imply roughly 44/30/26, and this is widely framed as a coin-flip dressed up as a slight Belgium edge; Belgium looked toothless against organized defenses (1-1 Egypt, 0-0 Iran) before feasting on weak New Zealand, and Senegal will sit compact and counter through Mane/Sarr's pace. Multiple sharp handicappers converge on the draw as the value play in an evenly matched, likely tight-in-regulation knockout, so a small plus-money stake on the draw carries a marginal edge. The stake is intentionally small because the edge is thin, Senegal's loss of first-choice keeper Mendy is a real downgrade favoring Belgium, and Kelly sizing on a near-efficient market is minimal.",https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds | https://www.covers.com/world-cup/belgium-vs-senegal-prediction-picks-odds-wednesday-7-1-2026 | https://www.betting.net/news/world-cup/belgium-senegal-07-01/ | https://www.rotowire.com/soccer/article/belgium-vs-senegal-picks-tips-odds-best-bets-2026-world-cup-round-of-32-120526 | https://news.sportsinteraction.com/soccer/fifa-world-cup/story/belgium-vs-senegal-odds-prediction-070126-217136,partially_correct,True,neither,"I underweighted that Belgium's superior attacking quality (De Bruyne/Lukaku/Trossard) would actually convert in an open, end-to-end game rather than the match staying tight and low-scoring.","The sharp-handicapper 'tense, low-scoring regulation draw' narrative and Belgium's toothlessness vs organized defenses—Senegal played open and countered rather than parking the bus, giving Belgium's attack the space it lacked vs Egypt/Iran.","If Senegal had first-choice keeper Mendy instead of backup Diaw (who shipped 3), or if the game had stayed as tight as I bet on, one fewer Belgium goal likely makes it 2-2.","yes—my own Kelly math already pointed to a near-zero stake, so no_bet or ~$5 would have been the internally consistent call rather than $20 on a 31% outcome.",0.7,,8
m82,2026-07-01,round_of_32,England,Congo DR,2,1,team_a_win,regulation,,,team_a,0.74,0.19,0.07,draw,15,"Market (~-380) and Opta's supercomputer (73.9% England in regulation) both peg England near 74-76%, so backing the favorite offers no value after the vig. The one soft spot is the draw: England have repeatedly labored against deep low blocks (Ghana stalemate, grind vs Panama) and DR Congo are precisely that opponent—organized, resilient, counter-threat via Wissa—having already held Portugal 1-1. At +440 (~18.5% implied) I estimate the true 90-minute draw chance slightly higher (~19%), a thin value edge, so a small stake rather than a conviction bet.",https://www.aljazeera.com/sports/2026/6/30/england-vs-dr-congo-world-cup-round-of-32-kane-match-prediction-lineups | https://www.sportsline.com/insiders/england-vs-congo-dr-odds-predictions-2026-world-cup-round-of-32-picks-from-proven-soccer-expert/ | https://www.rotowire.com/soccer/article/england-vs-dr-congo-picks-tips-odds-best-bets-2026-world-cup-round-of-32-120524,partially_correct,True,neither,"England's individual quality (Kane, Bellingham, Saka) still producing the decisive goals to break the block—the favorite converting despite the grind, rather than the game staying level.","The 'England struggle against low blocks, therefore elevated draw chance' narrative, which pushed me into a bet against a well-priced favorite on a razor-thin edge.","If DR Congo had converted one more counter or set piece and England hadn't found a second goal, the low-block thesis could have held for a draw—but England's talent decided it.","yes, I would have chosen no_bet since the de-vigged edge on the draw (~0.5-1%) was too thin to justify betting against a sharply priced favorite, even though my probability forecast itself was sound.",0.8,,9
