match_id,chatgpt,claude,gemini,grok,phase,all_same
m01,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m02,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m03,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m04,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m05,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m06,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m07,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m08,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m09,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m10,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m100,team_b_win,team_b_win,team_b_win,team_b_win,knockout,True
m101,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m102,team_a_win,team_a_win,team_b_win,team_a_win,knockout,False
m103,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m104,team_a_win,team_a_win,team_a_win,team_a_win,knockout,True
m11,team_b_win,team_b_win,draw,team_b_win,group,False
m12,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m13,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m14,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m15,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m16,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m17,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m18,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m19,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m20,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m21,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m22,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m23,team_a_win,team_b_win,team_a_win,team_a_win,group,False
m24,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m25,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m26,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m27,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m28,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m29,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m30,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m31,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m32,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m33,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m34,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m35,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m36,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m37,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m38,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m39,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m40,team_a_win,team_a_win,team_a_win,team_a_win,group,True
m41,team_b_win,team_b_win,team_b_win,team_b_win,group,True
m42,team_a_win,team_a_win,team_a_win,team_a_win,group,True
